Coronavirus disease,,
(COVID-19),,
Situation Report – 174,,
"Data as received by WHO from national authorities by 10:00 CEST, 12 July 2020",,
Highlights,,
WHO has published an Emergency Global Supply Chain Sysetem (COVID-19) catalogue listing all medical,,
"devices, including personal protective equipment, medical equipment, medical consumables, single use",,
"devices, and laboratory and test-related devices, which may be requested through the COVID-19 Supply Portal.",,
The catalogue represents an initial prioritized selection of items and are subject to constant reviw.,,
WHO surveyed networks of laboratories to map out global animal laboratory capacity around the world to,,
potentially help with accelerating vaccine and therapeutic evaluation.,,
"The WHO Regional Office for Africa calls for equitable access to future COVID-19 vaccines in Africa, as",,
researchers around the world race to find effective protection against the virus.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,12 552 765 cases (230 370),561 617 deaths (5 285)
Africa,461 296 cases (17 884),8 092 deaths (162)
Americas,6 540 222 cases (142 992),283 357 deaths (3 500)
Eastern Mediterranean,1 271 338 cases (15 361),30 652 deaths (510)
Europe,2 907 654 cases (18 804),203 285 deaths (448)
South-East Asia,1 130 247 cases (33 173),28 640 deaths (650)
Western Pacific,241 267 cases (2 156),7 578 deaths (15)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 6 July to 12 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 12 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 12 July 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,264 184,13 497,3 971,111,Community transmission,0
Nigeria,31 987,664,724,15,Community transmission,0
Ghana,24 248,785,135,6,Community transmission,0
Algeria,18 712,470,1 004,8,Community transmission,0
Cameroon,14 916,0,359,0,Community transmission,4
Côte d’Ivoire,12 052,548,81,3,Community transmission,0
Kenya,9 726,278,184,3,Community transmission,0
Senegal,8 014,132,145,0,Community transmission,0
Democratic Republic of the Congo,7 970,66,188,0,Community transmission,0
Ethiopia,7 560,158,127,3,Community transmission,0
Guinea,6 044,75,37,0,Community transmission,0
Gabon,5 942,0,46,0,Community transmission,1
Mauritania,5 126,0,144,0,Clusters of cases,1
Madagascar,4 578,435,34,0,Clusters of cases,0
Central African Republic,4 288,88,53,1,Community transmission,0
Mali,2 406,2,121,0,Community transmission,0
Malawi,2 261,192,33,2,Clusters of cases,0
South Sudan,2 139,10,41,0,Clusters of cases,0
Congo,2 103,75,47,0,Community transmission,0
Zambia,1 895,0,42,0,Community transmission,4
Guinea-Bissau,1 842,0,25,0,Community transmission,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,1 623,32,19,0,Clusters of cases,0
Sierra Leone,1 618,5,63,0,Community transmission,0
Benin,1 378,93,26,3,Community transmission,0
Eswatini,1 311,54,18,0,Clusters of cases,0
Rwanda,1 299,47,3,0,Sporadic cases,0
Mozambique,1 135,24,9,0,Clusters of cases,0
Niger,1 099,0,68,0,Community transmission,1
Equatorial Guinea,1 043,0,12,0,Community transmission,49
