Coronavirus disease,,
(COVID-19),,
Situation Report – 175,,
"Data as received by WHO from national authorities by 10:00 CEST, 13 July 2020",,
Highlights,,
"WHO has updated the risk assessment tools for mass gatherings,religious gatherings, and",,
mass gatherings during sports events to guide authorities and planning and event organizers,,
during the current COVID-19 pandemic.,,
WHO Regional Director for Europe Dr Hans Kluge thanked frontline workers in Turkey and,,
across Europe for their work in the response to the COVID-19 pandemic. He was speaking at a,,
"joint press conference with the Turkish Minister of Health, Dr. Fahrettin Koca, to mark 60 years",,
of WHO-Turkey collaboration. Dr Kluge emphasized that WHO is committed to improving the,,
health of the people of Turkey.,,
WHO updated its Q&A page to include information on schools and COVID-19.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,12 768 307 cases (215 539),566 654 deaths (5 037)
Africa,477 575 cases (16 279),8 253 deaths (161)
Americas,6 669 879 cases (129 657),286 577 deaths (3 220)
Eastern Mediterranean,1 286 651 cases (15 313),31 228 deaths (576)
Europe,2 925 686 cases (18 029),203 584 deaths (229)
South-East Asia,1 163 556 cases (33 309),29 258 deaths (618)
Western Pacific,244 219 cases (2 952),7 741 deaths (163)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 7 July to 13 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 13 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
13 July 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,276 242,12 058,4 079,108,Community transmission,0
Nigeria,32 558,571,740,16,Community transmission,0
Ghana,24 518,270,139,4,Community transmission,0
Algeria,19 195,483,1 011,7,Community transmission,0
Cameroon,15 173,257,359,0,Community transmission,0
Côte d’Ivoire,12 766,714,84,3,Community transmission,0
Kenya,10 105,379,185,1,Community transmission,0
Senegal,8 135,121,148,3,Community transmission,0
Democratic Republic of the Congo,8 032,62,188,0,Community transmission,0
Ethiopia,7 766,206,128,1,Community transmission,0
Guinea,6 141,97,37,0,Community transmission,0
Gabon,5 942,0,46,0,Community transmission,2
Mauritania,5 275,149,147,3,Clusters of cases,0
Madagascar,4 867,289,35,1,Clusters of cases,0
Central African Republic,4 288,0,53,0,Community transmission,1
Mali,2 411,5,121,0,Community transmission,0
Malawi,2 364,103,38,5,Clusters of cases,0
South Sudan,2 148,9,41,0,Clusters of cases,0
Congo,2 103,0,47,0,Community transmission,1
Zambia,1 895,0,42,0,Community transmission,5
Guinea-Bissau,1 842,0,25,0,Community transmission,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,1 698,75,19,0,Clusters of cases,0
Sierra Leone,1 635,17,63,0,Community transmission,0
Benin,1 378,0,26,0,Community transmission,1
Eswatini,1 351,40,20,2,Clusters of cases,0
Rwanda,1 337,38,4,1,Sporadic cases,0
Mozambique,1 157,22,9,0,Clusters of cases,0
Niger,1 099,0,68,0,Community transmission,2
Equatorial Guinea,1 043,0,12,0,Community transmission,50
Burkina Faso,1 033,13,53,- 1,Community transmission,0
