Coronavirus disease,,
(COVID-19),,
Situation Report – 176,,
"Data as received by WHO from national authorities by 10:00 CEST, 14 July 2020",,
Highlights,,
"The latest edition of the State of Food Security and Nutrition in the World, published yesterday,",,
"estimates that almost 690 million people went hungry in 2019 – up by 10 million from 2018, and",,
by nearly 60 million in the past five years. The report forecasts the COVID-19 pandemic could tip,,
over 130 million more people into chronic hunger by the end of 2020.,,
"In South Sudan, WHO and the Ministry of Health are working to address stigma and fear, which",,
are proving to be major barriers to tackling the COVID-19 pandemic.,,
A new report from WHO highlights that violence and injuries are a leading cause of death in the,,
"WHO European Region, accounting for almost 500 000 deaths a year. Evidence shows that",,
"violence can increase during and in the aftermath of disease outbreaks, particularly affecting",,
"women, children and older people. WHO has also produced guidance specifically addressing",,
violence against women.,,
The WHO Information Network for Epidemics (EPI-WIN) has launched a new webinar series to,,
manage infodemics through effective risk communication and community engagement. This is,,
discussed in today’s ‘Subject in Focus’ below.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,12 964 809 cases (196 775),570 288 deaths (3 634)
Africa,492 660 cases (15 085),8 430 deaths (177)
Americas,6 780 428 cases (110 549),288 430 deaths (1 853)
Eastern Mediterranean,1 302 297 cases (15 646),31 751 deaths (523)
Europe,2 946 104 cases (20 691),203 957 deaths (373)
South-East Asia,1 196 651 cases (33 095),29 900 deaths (642)
Western Pacific,245 928 cases (1 709),7 807 deaths (66)

Subject in Focus: Infodemics Management: Communicating,
uncertainty in the context of re-opening societies,
The WHO Information Network for Epidemics (EPI-WIN) has launched a new webinar series to,
manage infodemics through effective risk communication and community engagement (RCCE).,
This series aims to build practical skills for regional and country responders. The first in the,
"series, co-facilitated by the WHO Regional Office for Europe, dealt with communicating",
uncertainty during implementation and easing of public health and social measures (PHSM),
during COVID-19.,
"Particularly during the early stages of public health emergencies, there are many unknowns",
and a high demand for fact-based information. The bigger a public health emergency is and the,
"longer it lasts, the more unknowns there are likely to be. COVID-19 is a new disease that is",
"affecting countries in different ways at different times, as well as affecting individuals with",
diverse risks. Implementation and easing of PHSM have highlighted the acute need to manage,
uncertainty through communication and engagement of communities. This webinar identified,
"challenges of uncertainty related to the re-opening period, identified evidence-based RCCE",
"tactics to meet these challenges, and highlighted examples of RCCE tactics used in countries.",
The interactive session included 250 individuals from 73 countries and 184 organizations.,
"During online polls, respondents reported that the main factor leading to confusion was",
various organizations provided conflicting information or recommendations about COVID-19.,
"To avoid the perception that a change in recommendations is a result of error, organizations",
"should set expectations for change, signal changes as they occur, and time- and date-stamp",
products. Coordination also plays an important role in minimizing confusion. Coordination in,
"communication can best occur by ensuring that partners communicate the same messages,",
"coordinate releases of information, explain discrepancies between messages and build",
confidence in the expertise of all responding agencies.,
This will be an ongoing series and will include topics such as:,
•,Influencing Risk Perception through RCCE
•,Creating New Norms and Sustaining Behavior Change
•,Inclusion of Civil Society in Emergency Operations Planning and Response
Please find more information at www.who.int/epi-win,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 8 July to 14 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 14 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
14 July 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,287 796,11 554,4 172,93,Community transmission,0
Nigeria,33 153,595,744,4,Community transmission,0
Ghana,24 988,470,139,0,Community transmission,0
Algeria,19 689,494,1 018,7,Community transmission,0
Cameroon,15 173,0,359,0,Community transmission,1
Côte d’Ivoire,12 872,106,84,0,Community transmission,0
Kenya,10 294,189,197,12,Community transmission,0
Senegal,8 198,63,150,2,Community transmission,0
Democratic Republic of the Congo,8 074,42,189,1,Community transmission,0
Ethiopia,7 969,203,139,11,Community transmission,0
Guinea,6 170,29,38,1,Community transmission,0
Gabon,5 942,0,46,0,Community transmission,3
Mauritania,5 355,80,147,0,Clusters of cases,0
Madagascar,5 080,213,37,2,Clusters of cases,0
Central African Republic,4 321,33,53,0,Community transmission,0
Malawi,2 430,66,39,1,Clusters of cases,0
Mali,2 412,1,121,0,Community transmission,0
Zambia,2 283,388,82,40,Community transmission,0
Congo,2 222,119,47,0,Community transmission,0
South Sudan,2 148,0,41,0,Clusters of cases,1
Guinea-Bissau,1 902,60,26,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,1 722,24,19,0,Clusters of cases,0
Sierra Leone,1 642,7,63,0,Community transmission,0
Eswatini,1 389,38,20,0,Clusters of cases,0
Benin,1 378,0,26,0,Community transmission,2
Rwanda,1 378,41,4,0,Sporadic cases,0
Mozambique,1 219,62,9,0,Clusters of cases,0
Niger,1 099,0,68,0,Community transmission,3
Equatorial Guinea,1 043,0,12,0,Community transmission,51
Burkina Faso,1 036,3,53,0,Community transmission,0
Zimbabwe,1 034,49,19,1,Sporadic cases,0
Uganda,1 029,4,0,0,Sporadic cases,0
Liberia,1 024,14,51,0,Community transmission,0
Chad,880,0,75,0,Community transmission,1
Namibia,861,76,1,0,Sporadic cases,0
Togo,720,0,15,0,Community transmission,1
Angola,525,19,26,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,67
Sao Tome and Principe,412,3,12,0,Clusters of cases,0
Botswana,399,0,1,0,Clusters of cases,1
Mauritius,343,1,10,0,Clusters of cases,0
Comoros,317,0,7,0,Community transmission,1
Burundi,269,11,1,0,Clusters of cases,0
Lesotho,245,12,3,1,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eritrea 232 0 0 0 Sporadic cases 4,,,,,,
Seychelles 100 0 0 0 Clusters of cases 4,,,,,,
Gambia,64,0,3,0,Sporadic cases,4
Territoriesii,,,,,,
Mayotte,2 724,13,40,0,Clusters of cases,0
Réunion,596,3,3,0,Clusters of cases,0
Americas,,,,,,
United States of America,3 286 063,60 113,134 704,312,Community transmission,0
Brazil,1 864 681,24 831,72 100,631,Community transmission,0
Peru,326 326,3 616,11 870,188,Community transmission,0
Chile,317 657,2 616,7 024,45,Community transmission,0
Mexico,299 750,4 482,35 006,276,Community transmission,0
Colombia,150 445,5 083,5 307,188,Community transmission,0
Canada,107 590,243,8 783,10,Community transmission,0
Argentina,100 166,2 657,1 859,41,Community transmission,0
Ecuador,68 459,589,5 063,16,Community transmission,0
Bolivia (Plurinational State of),48 187,987,1 807,53,Community transmission,0
Panama,45 633,1 301,909,16,Community transmission,0
Dominican Republic,45 506,974,903,6,Community transmission,0
