Coronavirus disease,,
(COVID-19),,
Situation Report – 177,,
"Data as received by WHO from national authorities by 10:00 CEST, 15 July 2020",,
Highlights,,
WHO is supporting ongoing vaccination efforts during the COVID-19 pandemic by providing,,
knowledge and assistance to immunization programmes worldwide and helping countries as,,
they balance the threat of COVID-19 with the threat of vaccine-preventable disease outbreaks,,
and related-deaths.,,
"Since the first confirmed case of COVID-19 in Somalia, WHO and key international partners have",,
upgraded the country’s diagnostic capacity. WHO continues to provide budgetary support for,,
hiring staff and strengthening the overall laboratory capacity in Somalia.,,
"WHO has chronicled the work of a doctor, cultural mediator and migrant, Dr Aref Bandary, who",,
has been leading the COVID-19 response in refugee centers in Serbia.,,
"The Director of the WHO Regional Office for the Americas, Dr Carissa F. Etienne, discusses how",,
countries in the Americas are pooling their efforts to ensure access to treatments and,,
"vaccines for COVID-19. Under WHO’s Access to COVID-19 Tools Accelerator, the COVAX facility",,
will negotiate access with the producers of all COVID-19 candidate vaccines that show,,
promising results.,,
Today’s ‘Subject in Focus’ provides an update on the COVID-19 Supply Chain System. In the,,
"coming weeks, nearly 201 million pieces of equipment will be shipped to 138 countries.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,13 150 645 cases (185 836),574 464 deaths (4 176)
Africa,506 124 cases (13 464),8 650 deaths (220)
Americas,6 884 151 cases (103 723),290 674 deaths (2 244)
Eastern Mediterranean,1 317 078 cases (14 781),32 294 deaths (543)
Europe,2 964 046 cases (17 942),204 449 deaths (492)
South-East Asia,1 231 014 cases (34 363),30 570 deaths (670)
Western Pacific,247 491 cases (1 563),7 814 deaths (7)

Subject in Focus: COVID-19 Supply Chain System – Progress Update
"With the resumption of commercial flights and air travel, WHO, through the COVID-19 Supply"
"Chain System, has reported increased deliveries of critical medical supplies for the COVID-19"
response to countries facing the greatest need. These supplies include personal protective
"equipment (PPE), diagnostics and biomedical equipment."
Personal Protective Equipment
"Working with the World Food Programme (WFP), which is running warehouse and transport"
"operations for the COVID-19 Supply Chain System, WHO has increased deliveries of PPE –
including medical masks, respirator masks, goggles, face shields, gowns and gloves - from 5.5"
million to 50.4 million pieces over the past month.
"Moving forward, nearly 201 million pieces of PPE will be shipped to 138 countries across all"
six WHO regions. These numbers include 100 million medical masks and 1 million
respirator masks donated by the Jack Ma Foundation.
"Nearly 20 million pieces of PPE have now been shipped to the Region of the Americas,"
currently the epicenter of the COVID-19 pandemic. A further 70 million pieces of PPE will
be shipped over the coming weeks.
WHO is now prioritizing the shipment of 46.4 million pieces of PPE to 52 countries in Africa
over the coming weeks.

Diagnostics
"Through the diagnostics purchasing consortium, WHO, UNICEF and the Global Fund have"
procured close to 6 million polymerase chain reaction (PCR) tests and 5.2 million sample
collection kits from a number of manufacturers to increase testing capacity in countries.
"To date, 3.1 million PCR tests and 1.7 sample collection kits have been shipped to 137"
countries across all WHO regions.
Bio-medical Equipment
Approximately US$19 million of bio-medical equipment – comprising 14 000 oxygen
"concentrators, 9 700 pulse oximeters and 4 700 patient monitors – have been purchased"
through the Clinical Care Consortium.
"Of WHO’s initial purchase of 4 000 oxygen concentrators, 3 950 concentrators have been"
shipped to 36 countries that have had the greatest difficulty accessing these life-saving
supplies for COVID-19 patients in critical condition. An additional 10 000 oxygen
concentrators were purchased in June and will be prepared for shipment upon arrival to the
WFP warehouse in China.
COVID-19 Supply Portal
"Since the launch of the COVID-19 Supply Portal, 81 countries have submitted 351 requests for"
supplies with a total estimated value of US$ 174.6 million.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 9 July to 15 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 15 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
15 July 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,298 292,10 496,4 346,174,Community transmission,0
Nigeria,33 616,463,754,10,Community transmission,0
Ghana,24 988,0,139,0,Community transmission,1
Algeria,20 216,527,1 028,10,Community transmission,0
Cameroon,15 173,0,359,0,Community transmission,2
Côte d’Ivoire,13 037,165,87,3,Community transmission,0
Kenya,10 791,497,202,5,Community transmission,0
Senegal,8 243,45,150,0,Community transmission,0
Ethiopia,8 181,212,146,7,Community transmission,0
Democratic Republic of the Congo,8 134,60,189,0,Community transmission,0
Guinea,6 200,30,38,0,Community transmission,0
Gabon,5 942,0,46,0,Community transmission,4
Mauritania,5 446,91,149,2,Clusters of cases,0
Madagascar,5 343,263,39,2,Clusters of cases,0
Central African Republic,4 321,0,53,0,Community transmission,1
Malawi,2 497,67,40,1,Clusters of cases,0
Mali,2 423,11,121,0,Community transmission,0
Congo,2 358,136,48,1,Community transmission,0
Zambia,2 283,0,82,0,Community transmission,1
South Sudan,2 153,5,41,0,Clusters of cases,0
Guinea-Bissau,1 902,0,26,0,Community transmission,1

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,1 780,58,19,0,Clusters of cases,0
Sierra Leone,1 651,9,64,1,Community transmission,0
Benin,1 463,85,28,2,Community transmission,0
Eswatini,1 434,45,20,0,Clusters of cases,0
Rwanda,1 416,38,4,0,Sporadic cases,0
Mozambique,1 268,49,9,0,Clusters of cases,0
Niger,1 099,0,68,0,Community transmission,4
Zimbabwe,1 064,30,20,1,Sporadic cases,0
Equatorial Guinea,1 043,0,12,0,Community transmission,52
Uganda,1 040,11,0,0,Sporadic cases,0
Liberia,1 038,14,51,0,Community transmission,0
Burkina Faso,1 037,1,53,0,Community transmission,0
Chad,884,4,75,0,Community transmission,0
Namibia,864,3,2,1,Sporadic cases,0
Togo,731,11,15,0,Community transmission,0
Angola,541,16,26,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,68
Sao Tome and Principe,416,4,12,0,Clusters of cases,0
Botswana,399,0,1,0,Clusters of cases,2
Mauritius,343,0,10,0,Clusters of cases,1
Comoros,321,4,7,0,Community transmission,0
Burundi,269,0,1,0,Clusters of cases,1
Lesotho,256,11,3,0,Sporadic cases,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eritrea 232 0 0 0 Sporadic cases 5,,,,,,
Seychelles 100 0 0 0 Clusters of cases 5,,,,,,
Gambia,64,0,3,0,Sporadic cases,5
Territoriesii,,,,,,
Mayotte,2 724,0,40,0,Clusters of cases,1
Réunion,599,3,3,0,Clusters of cases,0
Americas,,,,,,
United States of America,3 344 783,58 720,135 053,349,Community transmission,0
Brazil,1 884 967,20 286,72 833,733,Community transmission,0
Peru,330 123,3 797,12 054,184,Community transmission,0
Chile,319 493,1 836,7 069,45,Community transmission,0
Mexico,304 435,4 685,35 491,485,Community transmission,0
Colombia,154 277,3 832,5 455,148,Community transmission,0
Canada,108 155,565,8 790,7,Community transmission,0
Argentina,103 265,3 099,1 926,67,Community transmission,0
Ecuador,69 570,1 111,5 130,67,Community transmission,0
Bolivia (Plurinational State of),49 250,1 063,1 866,59,Community transmission,0
Panama,47 173,1 540,932,23,Community transmission,0
Dominican Republic,46 305,799,910,7,Community transmission,0
Guatemala,29 742,387,1 244,25,Community transmission,0
Honduras,28 579,489,789,15,Community transmission,0
El Salvador,10 303,325,278,11,Community transmission,0
Venezuela (Bolivarian Republic of),9 707,242,93,4,Community transmission,0
Costa Rica,8 036,440,31,1,Community transmission,0

