Coronavirus disease,,
(COVID-19),,
Situation Report – 178,,
"Data as received by WHO from national authorities by 10:00 CEST, 16 July 2020",,
Highlights,,
75 countries have submitted expressions of interest to protect their populations and those,,
"of other nations through joining the COVAX Facility, a mechanism designed to guarantee",,
"rapid, fair and equitable access to COVID-19 vaccines worldwide. The goal of COVAX is to",,
"deliver two billion doses of safe, effective vaccines that have passed regulatory approval and/or",,
WHO prequalification.,,
"WHO and UNICEF have warned of a decline in vaccinations, due to disruptions in delivery",,
caused by the COVID-19 pandemic. UNICEF Executive Director Henrietta Fore noted that,,
“COVID-19 has made previously routine vaccination a daunting challenge” and stressed that,,
"further impact on vaccine coverage needs to be avoided, otherwise there is a risk of exchanging",,
one crisis for another.,,
"While the world races to find a vaccine to defeat the COVID-19 pandemic, WHO looks back on",,
all that vaccines have achieved for humanity.,,
"In today’s ‘Subject in Focus’ we describe the WHO Unity Study protocols, developed to better",,
understand the characteristics of the COVID-19 virus and the disease it causes.,,
Thank you for reading the WHO COVID-19 Situation Report! We would greatly appreciate any,,
feedback and suggestions you may have on these reports via a short anonymous survey.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,13 378 853 cases (226 181),580 045 deaths (5 579)
Africa,523 403 cases (17 279),8 819 deaths (172)
Americas,7 016 851 cases (132 700),294 301 deaths (3 627)
Eastern Mediterranean,1 331 893 cases (14 815),32 776 deaths (482)
Europe,2 987 256 cases (21 183),205 006 deaths (552)
South-East Asia,1 268 923 cases (37 909),31 297 deaths (727)
Western Pacific,249 786 cases (2 295),7 833 deaths (19)

Subject in Focus: Unity studies: Early epidemiological investigations
for COVID-19
"The identification of any new pathogen, such as SARS-CoV-2, the virus that causes COVID-19,"
"is accompanied by many unknowns. Six months into the pandemic, there are certain"
"characteristics of the virus and the disease it causes that remain unclear, particularly its ability"
to spread in the human population and its virulence. To enhance understanding of the
"characteristics of the COVID-19 (SARS-CoV-2) virus and the disease it causes, WHO has"
"developed a series of early epidemiological protocols, the WHO Unity studies. These protocols"
"enable analysis of the local context, as well as comparison across different settings."
The six currently available WHO Unity study protocols help countries to understand infection
"amongst close contacts of cases, health workers, or members of households; to understand"
the extent of infection in the population; and to determine the presence of the virus on
different surfaces and environments. The results of these studies help countries to inform
public health and social measures to limit further spread of the virus.
"To date, 47 countries have implemented at least one of the Unity study protocols. An"
additional 46 countries have expressed their intent to implement them. More than half of the
"countries implementing the protocols (55%) are low- and middle-income countries, providing"
an invaluable tool for enhanced surveillance and research equity.
"WHO supports countries to develop and implement country-specific protocols, support"
"selection of laboratory tests, and ensure comparability of results between countries. WHO has"
also procured and delivered laboratory tests to countries that have begun to implement at
least one of the studies. This represents 35 820 laboratory tests being sent to 12 low- and
"middle-income countries, with further tests to be sent to other countries in the coming"
months. The use of the same laboratory tests across study sites will ensure that the results
from different sites can be compared.
Two protocols are currently being developed in collaboration with technical partners. One will
enable understanding of the extent of infection in schools and other educational institutions.
"The other will address COVID-19 in closed settings, which include long term care facilities,"
"food processing plants, prisons, military barracks, and community venues."

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 10 July to 16 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 16 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
16 July 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,311 049,12 757,4 453,107,Community transmission,0
Nigeria,34 259,643,760,6,Community transmission,0
Ghana,25 430,442,139,0,Community transmission,0
Algeria,207 70,554,1 040,12,Community transmission,0
Cameroon,16 057,884,369,10,Community transmission,0
Côte d’Ivoire,13 037,0,87,0,Community transmission,1
Kenya,11 252,461,209,7,Community transmission,0
Ethiopia,8 475,294,148,2,Community transmission,0
Senegal,8 369,126,153,3,Community transmission,0
Democratic Republic of the Congo,8 162,28,191,2,Community transmission,0
Guinea,6 276,76,38,0,Community transmission,0
Gabon,5 942,0,46,0,Community transmission,5
Madagascar,5 605,262,43,4,Community transmission,0
Mauritania,5 518,72,149,0,Community transmission,0
Central African Republic,4 362,41,53,0,Community transmission,0
Malawi,2 614,117,43,3,Clusters of cases,0
Mali,2 433,10,121,0,Community transmission,0
Congo,2 358,0,48,0,Community transmission,1
Zambia,2 283,0,82,0,Community transmission,2
South Sudan,2 171,18,41,0,Community transmission,0
Guinea-Bissau,1 927,25,26,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,1 837,57,19,0,Clusters of cases,0
Sierra Leone,1 668,17,64,0,Community transmission,0
Eswatini,1 489,55,20,0,Community transmission,0
Benin,1 463,0,28,0,Community transmission,1
Rwanda,1 435,19,4,0,Community transmission,0
Mozambique,1 330,62,9,0,Community transmission,0
Niger,1 099,0,68,0,Community transmission,5
Zimbabwe,1 089,25,20,0,Clusters of cases,0
Liberia,1 056,18,66,15,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,53
Uganda,1 043,3,0,0,Clusters of cases,0
Burkina Faso,1 038,1,53,0,Community transmission,0
Namibia,960,96,2,0,Clusters of cases,0
Chad,885,1,75,0,Community transmission,0
Togo,740,9,15,0,Community transmission,0
Angola,576,35,27,1,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,69
Sao Tome and Principe,417,1,12,0,Clusters of cases,0
Botswana,399,0,1,0,Clusters of cases,3
Mauritius,343,0,10,0,Sporadic cases,2
Comoros,321,0,7,0,Community transmission,1
Burundi,303,34,1,0,Clusters of cases,0
Lesotho,256,0,3,0,Clusters of cases,1

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eritrea 232 0 0 0 Sporadic cases 6,,,,,,
Seychelles 108 8 0 0 Sporadic cases 0,,,,,,
Gambia,64,0,3,0,Sporadic cases,6
Territoriesii,,,,,,
Mayotte,2 743,19,37,0,Clusters of cases,0
Réunion,608,9,3,0,Clusters of cases,0
Americas,,,,,,
United States of America,3 405 494,60 711,135 807,754,Community transmission,0
Brazil,1 926 824,41 857,74 133,1 300,Community transmission,0
Peru,333 867,3 744,12 229,175,Community transmission,0
Chile,321 205,1 712,7 186,117,Community transmission,0
Mexico,311 486,7 051,36 327,836,Community transmission,0
Colombia,159 898,5 621,5 625,170,Community transmission,0
Canada,108 486,331,8 798,8,Community transmission,0
Argentina,106 910,3 645,1 987,61,Community transmission,0
Ecuador,70 329,759,5 158,28,Community transmission,0
Bolivia (Plurinational State of),50 867,1 617,1 898,32,Community transmission,0
Panama,48 096,923,960,28,Community transmission,0
Dominican Republic,47 671,1 366,929,19,Community transmission,0
Guatemala,30 872,1 130,1 302,58,Community transmission,0
Honduras,29 106,527,807,18,Community transmission,0
El Salvador,10 645,342,286,8,Community transmission,0
