Coronavirus disease,,
(COVID-19),,
Situation Report – 179,,
"Data as received by WHO from national authorities by 10:00 CEST, 17 July 2020",,
Highlights,,
WHO Director-General Dr Tedros joined the leaders of Spain to pay tribute to those who,,
"lost their lives to COVID-19, and stated that “Spain has shown that with political leadership",,
"and action, backed by community support, COVID-19 can be controlled, no matter at what",,
stage virus transmission is at in a country”.,,
"The WHO Regional Director for the Western Pacific, Dr Takeshi Kasai, praised New",,
"Zealand’s success in controlling COVID-19, adding that it has been a concerted effort to",,
limit and stop COVID-19 on their shores and support other countries in the Region.,,
The Pan American Health Organization/WHO Regional Office for the Americas and the,,
Coordinator of Indigenous Organizations of the Amazon River Basin (COICA) have agreed,,
to work together to step up the fight against COVID-19 in indigenous areas of the Amazon.,,
PAHO and COICA called for the urgent implementation of responses to the COVID-19,,
pandemic that are “appropriate to the various geographical and cultural contexts and that,,
include the participation of the communities themselves”.,,
"As of 10 July 2020, 192 countries, territories and areas have implemented additional health",,
measures that significantly interfere with international traffic. An updated summary is outlined,,
in the ‘Subject in Focus’ below.,,
Thank you for reading the WHO COVID-19 Situation Report! We would greatly appreciate,,
any feedback and suggestions you may have on these reports via a short anonymous,,
survey.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,13 616 593 cases (237 743),585 727 deaths (5 682)
Africa,543 122 cases (19 719),9 130 deaths (311)
Americas,7 154 840 cases (137 989),297 855 deaths (3 554)
Eastern Mediterranean,1 346 982 cases (15 089),33 281 deaths (505)
Europe,3 008 972 cases (21 719),205 482 deaths (476)
South-East Asia,1 308 441 cases (39 518),32 100 deaths (803)
Western Pacific,253 495 cases (3 709),7 866 deaths (33)

Subject in Focus: Additional health measures on international,
traffic,
"As of 10 July 2020, 192 out of 196 States Parties to the International Health Regulations",
(IHR 2005) reported additional health measures that significantly interfere with international,
"travel as defined under Article 43 ofthe IHR. Since 6 February 2020, WHO has shared",
"this information on a weekly basis through the Event Information Site, a secure platform",
accessible by national IHR focal points and United Nations agencies.,
The majority of measures taken by Member States relate to the denial of entry of,
"passengers, followed by flight suspensions, visa restrictions, border closures and",
quarantine measures. 75 countries have sent official notifications to WHO to communicate,
"the implementation or lifting of measures, as well as the public health rationale. From the",
"official reports received by WHO, these measures have been implemented within the",
context of a comprehensive set of interventions aimed at limiting the rapid spread of the,
disease that could overburden the country’s healthcare system and its response capacity.,
"During the last 3 weeks, at least 46 countries have started to lift or partially lift some of",
"the measures, based on risk assessment informed by multiple risk factors.",
The Temporary Recommendations to States Parties on additional health measures which,
were issued following the 3rd meeting of the IHR Emergency Committee on 30 April 2020,
include:,
•,"Avoid restrictions on international transport of food, medical and other essential"
,supplies and permit the safe movement of essential personnel required for an
,effective pandemic response;
•,Implement appropriate travel measures with consideration of their public health
,"benefits, including entry and exit screening, education of travellers on responsible"
,"travel behavior, case finding, contact tracing, isolation, and quarantine, by"
,incorporating evidence on the potential role of pre-symptomatic and asymptomatic
,transmission;
•,"Implement and monitor case finding and contact tracing of travellers, using digital"
,tools where appropriate;

•,"Continue to review travel and trade measures based on regular risk assessments,"
,"transmission patterns at origin and destination, cost-benefit analysis, evolution of the"
,"pandemic, and new knowledge of COVID-19;"
•,Engage in global efforts to respond to the challenges of COVID-19 in managing
,maritime vessels;
•,Not implement trade restrictions beyond those considered to be of public health
,importance in accordance with relevant international agreements;
•,Continue to provide appropriate public health rationale to WHO for additional health
,measures in accordance with IHR.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 11 July to 17 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 17 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 17 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,324 221,13 172,4 669,216,Community transmission,0
Nigeria,34 854,595,769,9,Community transmission,0
Ghana,26 125,695,139,0,Community transmission,0
Algeria,21 355,585,1 052,12,Community transmission,0
Cameroon,16 057,0,369,0,Community transmission,1
Côte d’Ivoire,13 403,366,87,0,Community transmission,0
Kenya,11 673,421,217,8,Community transmission,0
Ethiopia,8 803,328,150,2,Community transmission,0
Senegal,8 481,112,156,3,Community transmission,0
Democratic Republic of the Congo,8 198,36,192,1,Community transmission,0
Guinea,6 359,83,39,1,Community transmission,0
Gabon,6 121,179,46,0,Community transmission,0
Madagascar,6 089,484,53,10,Community transmission,0
Mauritania,5 564,46,149,0,Community transmission,0
Central African Republic,4 373,11,53,0,Community transmission,0
Malawi,2 716,102,51,8,Clusters of cases,0
Mali,2 440,7,121,0,Community transmission,0
Congo,2 358,0,48,0,Community transmission,2
Equatorial Guinea,2 350,1 307,41,29,Community transmission,0
Zambia,2 283,0,82,0,Community transmission,3
South Sudan,2 191,20,43,2,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Guinea-Bissau,1 927,0,26,0,Community transmission,1
Cabo Verde,1 894,57,19,0,Clusters of cases,0
Sierra Leone,1 678,10,64,0,Community transmission,0
Eswatini,1 552,63,21,1,Community transmission,0
Rwanda,1 473,38,4,0,Community transmission,0
Benin,1 463,0,28,0,Community transmission,2
Mozambique,1 383,53,9,0,Community transmission,0
Zimbabwe,1 362,273,23,3,Clusters of cases,0
Niger,1 102,3,69,1,Community transmission,0
Liberia,1 070,14,68,2,Community transmission,0
Uganda,1 051,8,0,0,Clusters of cases,0
Burkina Faso,1 038,0,53,0,Community transmission,1
Namibia,1 032,72,2,0,Clusters of cases,0
Chad,886,1,75,0,Community transmission,0
Togo,749,9,15,0,Community transmission,0
Sao Tome and Principe,740,323,14,2,Clusters of cases,0
Angola,607,31,28,1,Clusters of cases,0
Botswana,522,123,1,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,70
Mauritius,343,0,10,0,Sporadic cases,3
Comoros,328,7,7,0,Community transmission,0
Burundi,310,7,1,0,Clusters of cases,0
Lesotho,256,0,3,0,Clusters of cases,2

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eritrea 251 19 0 0 Sporadic cases 0,,,,,,
Seychelles 108 0 0 0 Sporadic cases 1,,,,,,
Gambia,78,14,3,0,Sporadic cases,0
Territoriesii,,,,,,
Mayotte,2 782,39,37,0,Clusters of cases,0
Réunion,614,6,3,0,Clusters of cases,0
Americas,,,,,,
United States of America,3 472 659,67 165,136 753,946,Community transmission,0
Brazil,1 966 748,39 924,75 366,1 233,Community transmission,0
Peru,337 724,3 857,12 417,188,Community transmission,0
Chile,323 698,2 493,7 290,104,Community transmission,0
Mexico,317 635,6 149,36 906,579,Community transmission,0
Colombia,165 169,5 271,5 814,189,Community transmission,0
Argentina,111 160,4 250,2 072,85,Community transmission,0
Canada,108 829,343,8 810,12,Community transmission,0
Ecuador,71 365,1 036,5 207,49,Community transmission,0
Bolivia (Plurinational State of),52 218,1 351,1 942,44,Community transmission,0
Panama,49 243,1 147,982,22,Community transmission,0
Dominican Republic,48 743,1 072,941,12,Community transmission,0
Guatemala,32 074,1 202,1 350,48,Community transmission,0
Honduras,30 036,930,825,18,Community transmission,0
El Salvador,10 957,312,298,12,Community transmission,0
Venezuela (Bolivarian Republic of),10 428,418,100,4,Community transmission,0
Costa Rica,8 986,504,40,4,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,6 902,71,145,2,Community transmission,0
Paraguay,3 198,124,25,0,Community transmission,0
