Coronavirus disease,,
(COVID-19),,
Situation Report – 181,,
"Data as received by WHO from national authorities by 10:00 CEST, 19 July 2020",,
Highlights,,
"COVID-19 affects us all, but most especially vulnerable populations such as refugees",,
and migrants. To assess the public health and social impact of the COVID-19,,
"pandemic on refugees and migrants, WHO and partners are conducting a global study",,
called ‘ApartTogether’. You can participate through a survey currently being conducted.,,
"To combat misconceptions about COVID-19 in Nigeria, WHO and the Nigerian",,
government are scaling up strategies to demystify COVID-19 by working with traditional,,
"leaders. The aim is to empower traditional leaders, who command great respect, to",,
participate in on-going sensitization efforts and to sustain the strategy by letting,,
community members lead the campaign.,,
Thank you for reading the WHO COVID-19 Situation Report! We would greatly appreciate,,
any feedback and suggestions you may have on these reports via a short anonymous,,
survey.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,14 043 176 cases (166 735),597 583 deaths (4 496)
Africa,579 091 cases (17 625),9 546 deaths (197)
Americas,7 376 748 cases (70 377),305 285 deaths (2 777)
Eastern Mediterranean,1 374 503 cases (13 712),34 226 deaths (488)
Europe,3 060 525 cases (18 195),206 965 deaths (281)
South-East Asia,1 391 407 cases (43 453),33 543 deaths (636)
Western Pacific,260 161 cases (3 373),8 005 deaths (117)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 13 July to 19 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 19 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 19 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,350 879,13 285,4 948,144,Community transmission,0
Nigeria,36 107,653,778,6,Community transmission,0
Ghana,27 060,488,145,1,Community transmission,0
Algeria,22 549,601,1 068,11,Community transmission,0
Cameroon,16 157,0,373,0,Community transmission,1
Côte d’Ivoire,13 696,0,87,0,Community transmission,1
Kenya,12 750,688,225,3,Community transmission,0
Ethiopia,9 503,356,167,4,Community transmission,0
Senegal,8 669,125,163,3,Community transmission,0
Democratic Republic of the Congo,8 249,1,192,0,Community transmission,0
Madagascar,6 849,382,55,1,Community transmission,0
Guinea,6 491,61,39,0,Community transmission,0
Gabon,6 121,0,46,0,Community transmission,2
Mauritania,5 710,51,151,1,Community transmission,0
Central African Republic,4 485,96,55,2,Community transmission,0
Zambia,2 980,170,120,11,Community transmission,0
Malawi,2 907,97,59,4,Clusters of cases,0
Congo,2 633,0,49,0,Community transmission,1
Mali,2 472,5,121,0,Community transmission,0
Equatorial Guinea,2 350,0,41,0,Community transmission,2
South Sudan,2 200,9,43,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 014,75,21,1,Clusters of cases,0
Guinea-Bissau,1 950,0,26,0,Community transmission,1
Eswatini,1 729,110,21,0,Community transmission,0
Sierra Leone,1 701,13,65,0,Community transmission,0
Benin,1 602,0,31,0,Community transmission,1
Rwanda,1 539,54,5,1,Community transmission,0
Zimbabwe,1 478,58,25,1,Clusters of cases,0
Mozambique,1 435,33,10,1,Community transmission,0
Namibia,1 203,125,2,0,Clusters of cases,0
Niger,1 104,2,69,0,Community transmission,0
Liberia,1 088,18,70,2,Community transmission,0
