Coronavirus disease,,
(COVID-19),,
Situation Report – 183,,
"Data as received by WHO from national authorities by 10:00 CEST, 21 July 2020",,
Highlights,,
"In his regular media briefing, WHO Director-General Dr Tedros reiterated the importance of contact tracing in",,
"all communities affected by COVID-19, stating that “No country can get control of its epidemic if it doesn’t",,
know where the virus is”.,,
A South African hospital has developed an innovative solution to boost COVID-19 testing. Staff in the,,
"Westfleur Hospital, a public facility in the Western Cape, are refashioning security booths into makeshift",,
COVID-19 testing centers.,,
"The Istanbul Center, run by the WHO Country Office in Turkey together with the Turkish Ministry of Health,",,
improved access to health services for Syrian refugees using online services to provide psychosocial health,,
"support, as part of reinforced preventive measures against COVID-19.",,
Countries in the WHO Eastern Mediterranean Region are restarting essential polio immunization campaigns,,
"under strict COVID-19 infection prevention and control measures, with Pakistan being the first country to",,
resume campaigns. Other countries in the Region are in the early stages of planning to resume vaccination,,
campaigns when the local epidemiological situation permits.,,
"In the ‘Subject in Focus’ below, we feature the highlights of the first global WHO infodemiology conference.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,14 562 550 cases (213 637),607 781 deaths (4 083)
Africa,611 185 cases (13 962),9 898 deaths (207)
Americas,7 702 075 cases (117 400),311 569 deaths (2 260)
Eastern Mediterranean,1 400 544 cases (13 249),35 145 deaths (459)
Europe,3 103 674 cases (24 401),207 958 deaths (416)
South-East Asia,1 478 141 cases (42 000),35 121deaths (733)
Western Pacific,266 190 cases (2 625),8 077deaths (8)

Subject in Focus: The first global WHO infodemiology conference - Building the,
science behind managing infodemics,
"In April, WHO held an online global",
consultation that produced a WHO,
framework for managing the COVID-19,
"infodemic, along with 50 action points, one of",
which was to hold the first WHO,
Infodemiology Conference: a trans-,
disciplinary consultation to gather insights,
and approaches from as wide a range of,
"relevant scientific fields as possible,",
establishing a glossary and research,
framework for infodemic management.,
"A public webinar on 29 June set the context,",
generating record-breaking attendance—over 11 000 online connections. This was followed by an,
"invitation-only scientific conference consisting of a plenary session in early July, then a series of parallel",
"discussions among expert teams that ran until a closing plenary on 16 July, at which the results of those",
"discussions were presented. A final, public webinar was held on 21 July, to present the outcomes of",
these discussions to the public.,
"Along with strengthening the foundations of a new infodemiology discipline, the broader aims of this",
conference were to:,
•,understand the multidisciplinary nature of infodemic management;
•,"identify current examples and tools to understand, measure and control infodemics;"
•,build a public health research agenda to direct focus and investment in this emerging field; and
•,establish a community of practice and research.
"By the 16 July closing plenary, a draft research agenda had been shaped from these discussions,",
organised across five action areas:,
1.,Measure and monitor the impact of infodemics during health emergencies
2.,Detect and understand spread and impact of infodemics
3.,Respond and deploy interventions that protect and mitigate the infodemic and its harmful effects
4.,Evaluate infodemic interventions and strengthen resilience of individuals and communities to
,infodemics
5.,Strengthen systems for infodemic management in health emergencies.
A community of research and practice is being built to encourage the necessary cross-disciplinary,
"connections, encourage collaboration, build the required repositories of tools and resources, and track",
"the implementation of this agenda. Finally, an infodemiology glossary is being created to standardize the",
"language as a basis for a new field, along with a competencies framework for an infodemiology skillset —",
ultimately enabling capacity-building for the new field.,
"Preconference videos, graphic summaries programme booklet",
"Conference videos, graphic summaries programme booklet",
Testimonials,
"Post-conference webinar, 21 July, registration here.",

Surveillance
"Figure 1. Number of confirmed * COVID-19 cases reported in the last seven days by country, territory or area, 15 July to 21 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed * COVID-19 cases, by date of report and WHO region, 30 December through 21 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 21 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,373 628,9 300,5 173,140,Community transmission,0
Nigeria,37 225,562,801,12,Community transmission,0
Ghana,28 430,763,153,5,Community transmission,0
Algeria,23 691,607,1 087,9,Community transmission,0
Cameroon,16 522,365,382,9,Community transmission,0
Côte d’Ivoire,14 312,193,92,0,Community transmission,0
Kenya,13 771,418,238,4,Community transmission,0
Ethiopia,10 511,304,173,3,Community transmission,0
Senegal,8 948,138,170,3,Community transmission,0
Democratic Republic of the Congo,8 442,40,193,0,Community transmission,0
Madagascar,7 153,104,62,3,Community transmission,0
Guinea,6 590,46,40,1,Community transmission,0
Gabon,6 121,0,46,0,Community transmission,4
Mauritania,5 923,50,155,0,Community transmission,0
Central African Republic,4 485,0,55,0,Community transmission,2
Zambia,3 326,346,128,8,Community transmission,0
Malawi,3 045,53,64,2,Clusters of cases,0
Congo,2 851,218,50,1,Community transmission,0
Mali,2 475,0,121,0,Community transmission,1
Equatorial Guinea,2 350,0,41,0,Community transmission,4
South Sudan,2 211,0,45,0,Community transmission,1

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 071,28,21,0,Clusters of cases,0
Guinea-Bissau,1 954,4,26,0,Community transmission,0
Eswatini,1 826,33,23,2,Community transmission,0
Zimbabwe,1 713,102,26,1,Clusters of cases,0
Sierra Leone,1 711,0,66,1,Community transmission,1
Rwanda,1 629,47,5,0,Community transmission,0
Benin,1 602,0,31,0,Community transmission,3
Mozambique,1 507,16,11,1,Community transmission,0
Namibia,1 344,97,4,1,Clusters of cases,0
Liberia,1 107,16,70,0,Community transmission,0
Niger,1 105,1,69,0,Community transmission,0
Uganda,1 069,4,0,0,Clusters of cases,0
Burkina Faso,1 065,0,53,0,Community transmission,1
Chad,889,0,75,0,Community transmission,2
Togo,783,9,15,0,Community transmission,0
Angola,749,44,29,0,Clusters of cases,0
Sao Tome and Principe,746,0,14,0,Clusters of cases,1
Botswana,522,0,1,0,Clusters of cases,4
United Republic of Tanzania,509,0,21,0,Community transmission,74
Lesotho,359,0,6,0,Clusters of cases,3
Mauritius,343,0,10,0,Sporadic cases,7
Comoros,334,0,7,0,Community transmission,1
Burundi,328,6,1,0,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eritrea 251 0 0 0 Sporadic cases 4,,,,,,
Gambia 112 19 4 0 Sporadic cases 0,,,,,,
Seychelles,108,0,0,0,Sporadic cases,5
Territoriesii,,,,,,
Mayotte,2 808,26,38,1,Clusters of cases,0
Réunion,631,3,3,0,Clusters of cases,0
Americas,,,,,,
United States of America,3 748 248,62 788,139 964,496,Community transmission,0
Brazil,2 098 389,23 529,79 488,716,Community transmission,0
Peru,353 590,4 090,13 187,189,Community transmission,0
Mexico,344 224,5 311,39 184,296,Community transmission,0
Chile,333 029,2 099,8 633,130,Community transmission,0
Colombia,197 278,6 578,6 736,220,Community transmission,0
Argentina,126 755,4 231,2 281,35,Community transmission,0
Canada,110 338,339,8 852,4,Community transmission,0
Ecuador,74 620,607,5 318,5,Community transmission,0
Bolivia (Plurinational State of),59 582,1 444,2 151,45,Community transmission,0
Dominican Republic,53 956,1 101,993,12,Community transmission,0
Panama,53 468,1 207,1 096,25,Community transmission,0
Guatemala,39 039,997,1 502,53,Community transmission,0
Honduras,33 835,1 042,900,9,Community transmission,0
El Salvador,12 207,361,344,9,Community transmission,0
Venezuela (Bolivarian Republic of),11 891,408,112,2,Community transmission,0
Costa Rica,11 114,563,62,8,Community transmission,0

