Coronavirus disease,,
(COVID-19),,
Situation Report – 184,,
"Data as received by WHO from national authorities by 10:00 CEST, 22 July 2020",,
Highlights,,
Approximately one third of people in the Americas are at increased risk of developing severe,,
"COVID-19 illness due to underlying health conditions. To help confront this, the WHO Regional",,
"Office of the Americas/PAHO, in partnership with the London School of Hygiene and Tropical",,
"Medicine, have developed a new data model that provides a more accurate picture of the",,
prevalence of underlying health conditions in the Americas.,,
WHO works with the Ministry of Health and Medical Education to serve the people of Islamic,,
"Republic of Iran to deliver vital equipment and medicines, train health workers and raise",,
awareness in communities across the country. Computed Tomography (CT) scanning is a key,,
component of clinical diagnosis of COVID-19 patients. WHO has delivered 16 CT scan machines,,
to strengthen the Islamic Republic of Iran’s emergency response to COVID-19.,,
"WHO has chronicled the experience of Dr Altynai Karakhoishiyeva, an obstetrician-gynecologist",,
"working in Municipal Maternity Hospital No. 1 in Almaty, Kazakhstan. She has worked at this",,
"hospital throughout the pandemic, when it became a place of quarantine for pregnant women",,
suspected of having COVID-19.,,
WHO is helping redesign hospitals to ensure and optimise mitigation measures against,,
"COVID-19. In Italy, WHO is providing advice on how to create alternative routes in hospitals for",,
confirmed and suspected cases of COVID-19 as well as how to ensure better spacing in waiting,,
rooms and improve ventilation in order to minimise spread of the virus in health care settings.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,14 765 256 cases (202 726),612 054 deaths (4 286)
Africa,623 851 cases (12 666),10 157 deaths (259)
Americas,7 811 127 cases (109 052),313 809 deaths (2 240)
Eastern Mediterranean,1 414 462 cases (13 918),35 628 deaths (483)
Europe,3 124 701 cases (21 047),208 469 deaths (524)
South-East Asia,1 520 780 cases (42 639),35 891 deaths (770)
Western Pacific,269 594 cases (3 404),8 087 deaths (10)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 16 July to 22 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 22 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
22 July 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,381 798,8 170,5 368,195,Community transmission,0
Nigeria,37 801,576,805,4,Community transmission,0
Ghana,28 989,559,153,0,Community transmission,0
Algeria,24 278,587,1 100,13,Community transmission,0
Cameroon,16 522,0,382,0,Community transmission,1
Côte d’Ivoire,14 531,219,93,1,Community transmission,0
Kenya,14 168,397,250,12,Community transmission,0
Ethiopia,11 072,561,180,7,Community transmission,0
Senegal,8 985,37,174,4,Community transmission,0
Democratic Republic of the Congo,8 533,91,195,2,Community transmission,0
Madagascar,7 548,395,65,3,Community transmission,0
Guinea,6 625,35,41,1,Community transmission,0
Gabon,6 433,312,46,0,Community transmission,0
Mauritania,5 985,62,155,0,Community transmission,0
Central African Republic,4 561,76,55,0,Community transmission,0
Zambia,3 326,0,128,0,Community transmission,1
Malawi,3 149,104,71,7,Clusters of cases,0
Congo,2 851,0,50,0,Community transmission,1
Mali,2 477,2,122,1,Community transmission,0
Equatorial Guinea,2 350,0,41,0,Community transmission,5
South Sudan,2 211,0,45,0,Community transmission,2

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 107,36,21,0,Clusters of cases,0
Guinea-Bissau,1 954,0,26,0,Community transmission,1
Eswatini,1 894,68,24,1,Community transmission,0
Zimbabwe,1 820,107,26,0,Clusters of cases,0
Sierra Leone,1 727,16,66,0,Community transmission,0
Benin,1 690,88,34,3,Community transmission,0
Rwanda,1 655,26,5,0,Community transmission,0
Mozambique,1 536,29,11,0,Community transmission,0
Namibia,1 366,22,7,3,Clusters of cases,0
Liberia,1 108,1,70,0,Community transmission,0
Niger,1 108,3,69,0,Community transmission,0
Uganda,1 072,3,0,0,Clusters of cases,0
Burkina Faso,1 065,0,53,0,Community transmission,2
Chad,889,0,75,0,Community transmission,3
Togo,790,7,15,0,Community transmission,0
Angola,779,30,30,1,Clusters of cases,0
Sao Tome and Principe,746,0,14,0,Clusters of cases,2
Botswana,522,0,1,0,Clusters of cases,5
United Republic of Tanzania,509,0,21,0,Community transmission,75
Lesotho,359,0,6,0,Clusters of cases,4
Mauritius,343,0,10,0,Sporadic cases,8
Comoros,337,3,7,0,Community transmission,0
