Coronavirus disease,,
(COVID-19),,
Situation Report – 186,,
"Data as received by WHO from national authorities by 10:00 CEST, 24 July 2020",,
Highlights,,
"Dr Tedros, in his media briefing yesterday, reminded people not to let their guard down ‘we will",,
not be going back to the “old normal”. The pandemic has already changed the way we live our,,
lives. Part of adjusting to the “new normal” is finding ways to live our lives safely.’,,
"As the possibility of a protracted pandemic becomes increasingly likely, countries are",,
encouraged to conduct periodic reviews of their national and subnational COVID-19 response.,,
This ensures that countries do not miss critical opportunities for learning and improvement to,,
better respond to the COVID-19 outbreak. WHO has produced guidance to assist in this,,
exercise.,,
At the annual High-level Political Forum on Sustainable Development held between 7–16 July,,
2020 all countries expressed their support for the SDGs and discussed response measures to,,
help mitigate the negative effects of COVID-19.,,
"Ouagadougou: WHO is tackling COVID-19 fear and stigma in Burkina Faso, West Africa, where",,
both patients and health workers have been shunned by their communities.,,
"For Somalis, COVID-19 is the most immediate crisis in a seemingly unending cycle of floods,",,
"food insecurity, conflict and outbreaks of vaccine-preventable diseases like measles, cholera",,
"and polio. Against this backdrop, WHO’s polio programme is working to steer the COVID-19",,
"response and, more broadly, maintain vaccine immunity levels and improve access to health",,
care.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,15 296 926 cases (284 196),628 903 deaths (9 753)
Africa,659 348 cases (16 962),11 001 deaths (212)
Americas,8 121 700 cases (173 187),325 625 deaths (7 663)
Eastern Mediterranean,1 442 346 cases (13 262),36 600 deaths (482)
Europe,3 170 382 cases (22 522),209 421 deaths (451)
South-East Asia,1 625 564 cases (54 247),38 111 deaths (908)
Western Pacific,276 845 cases (4 016),8 132 deaths (37)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 18 July to 24 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 24 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
24 July 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,408 052,13 104,6 093,153,Community transmission,0
Nigeria,38 948,604,833,20,Community transmission,0
Ghana,29 672,0,153,0,Community transmission,1
Algeria,25 484,612,1 124,13,Community transmission,0
Cameroon,16 522,0,382,0,Community transmission,3
Kenya,15 601,796,263,3,Community transmission,0
Côte d’Ivoire,15 001,268,93,0,Community transmission,0
Ethiopia,11 933,409,197,9,Community transmission,0
Senegal,9 266,145,178,1,Community transmission,0
Democratic Republic of the Congo,8 625,0,196,0,Community transmission,1
Madagascar,8 381,219,70,1,Community transmission,0
Guinea,6 806,59,42,1,Community transmission,0
Gabon,6 588,0,47,0,Community transmission,1
Mauritania,6 027,42,155,0,Community transmission,0
Central African Republic,4 590,16,58,1,Community transmission,0
Zambia,3 583,0,128,0,Community transmission,1
Malawi,3 386,84,79,3,Community transmission,0
Congo,2 934,0,51,0,Community transmission,1
Mali,2 494,0,123,0,Community transmission,1
Equatorial Guinea,2 350,0,41,0,Community transmission,7
South Sudan,2 258,19,45,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 190,36,21,0,Clusters of cases,0
Zimbabwe,2 124,90,28,2,Clusters of cases,0
Eswatini,2 021,83,28,3,Community transmission,0
Guinea-Bissau,1 954,0,26,0,Community transmission,3
Sierra Leone,1 752,21,66,0,Community transmission,0
Rwanda,1 710,21,5,0,Clusters of cases,0
Benin,1 694,4,34,0,Community transmission,0
Mozambique,1 582,25,11,0,Community transmission,0
Namibia,1 522,120,7,0,Clusters of cases,0
Niger,1 124,2,69,0,Community transmission,0
Liberia,1 117,3,71,1,Community transmission,0
Uganda,1 080,5,1,1,Clusters of cases,0
Burkina Faso,1 070,4,53,0,Community transmission,0
Chad,915,26,75,0,Community transmission,0
Angola,851,39,33,0,Clusters of cases,0
Togo,828,22,16,0,Community transmission,0
Sao Tome and Principe,749,2,14,0,Clusters of cases,0
Botswana,622,0,1,0,Clusters of cases,1
United Republic of Tanzania,509,0,21,0,Community transmission,77
Lesotho,359,0,6,0,Clusters of cases,6
