Coronavirus disease,,
(COVID-19),,
Situation Report – 187,,
"Data as received by WHO from national authorities by 10:00 CEST, 25 July 2020",,
Highlights,,
"The COVID-19 pandemic has affected older people disproportionately, especially those living in long-term care",,
facilities. WHO has published a policy brief on preventing and managing COVID-19 across long-term care,,
services.,,
"Evelyn Narki Dowuona, a health worker at the Ga East Municipal Hospital in Accra, Ghana, speaks with WHO on",,
the challenges of managing COVID-19.,,
WHO has released a set of practical steps for implementing the prescriptions of the WHO Manifesto for a,,
"healthy recovery from COVID-19. These prescriptions aim to create a healthier, fairer and greener world while",,
investing to maintain and resuscitate the economy hit by the effects of the pandemic.,,
Prison nurse Deanna Mezen discusses how life has changed under COVID-19 at one of the largest prisons in the,,
United Kingdom.,,
"Through the UHC Partnership, WHO has been working since 2011 to support Timor-Leste’s efforts to",,
strengthen its health system. At the time of the first confirmed case of COVID-19 Timor-Leste had no identified,,
"isolation and quarantine facilities, limited surveillance capacity and had just initiated in-country testing for",,
COVID-19. Swift action from the Ministry of Health decisively transformed its fragile health system and,,
prevented COVID-19 from reaching communities.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,15 581 009 cases (284 083),635 173 deaths (6 270)
Africa,679 962 cases (20 614),11 340 deaths (339)
Americas,8 292 311 cases (170 611),329 699 deaths (4 074)
Eastern Mediterranean,1 456 365 cases (14 019),37 050 deaths (450)
Europe,3 192 041 cases (21 659),209 930 deaths (509)
South-East Asia,1 678 994 cases (53 430),38 993 deaths (882)
Western Pacific,280 595 cases (3 750),8 148 deaths (16)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 19 July to 25 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 25 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 25 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,421 996,13 944,6 343,250,Community transmission,0
Nigeria,39 539,591,845,12,Community transmission,0
Ghana,31 057,1 385,161,8,Community transmission,0
Algeria,26 159,675,1 136,12,Community transmission,0
Cameroon,16 708,186,385,3,Community transmission,0
Kenya,16 268,667,274,11,Community transmission,0
Côte d’Ivoire,15 253,252,94,1,Community transmission,0
Ethiopia,12 693,760,200,3,Community transmission,0
Senegal,9 422,156,182,4,Community transmission,0
Madagascar,8 741,360,76,6,Community transmission,0
Democratic Republic of the Congo,8 625,0,196,0,Community transmission,2
Gabon,6 984,396,49,2,Community transmission,0
Guinea,6 867,61,42,0,Community transmission,0
Mauritania,6 116,89,156,1,Community transmission,0
Central African Republic,4 593,3,59,1,Community transmission,0
Zambia,3 853,270,134,6,Community transmission,0
Malawi,3 454,68,87,8,Community transmission,0
Congo,3 038,104,51,0,Community transmission,0
Mali,2 503,9,123,0,Community transmission,0
Equatorial Guinea,2 350,0,41,0,Community transmission,8
Zimbabwe,2 296,172,32,4,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
South Sudan,2 258,0,45,0,Community transmission,1
Cabo Verde,2 220,30,22,1,Clusters of cases,0
Eswatini,2 073,52,28,0,Community transmission,0
Guinea-Bissau,1 954,0,26,0,Community transmission,4
Sierra Leone,1 765,13,66,0,Community transmission,0
Rwanda,1 729,19,5,0,Clusters of cases,0
Benin,1 694,0,34,0,Community transmission,1
Mozambique,1 590,8,11,0,Community transmission,0
Namibia,1 539,17,7,0,Clusters of cases,0
Liberia,1 135,18,71,0,Community transmission,0
Niger,1 124,0,69,0,Community transmission,1
Uganda,1 089,9,1,0,Clusters of cases,0
Burkina Faso,1 075,5,53,0,Community transmission,0
Chad,915,0,75,0,Community transmission,1
Angola,880,29,35,2,Clusters of cases,0
Sao Tome and Principe,860,111,14,0,Clusters of cases,0
Togo,839,11,17,1,Community transmission,0
Botswana,686,64,1,0,Clusters of cases,0
