Coronavirus disease,,
(COVID-19),,
Situation Report – 188,,
"Data as received by WHO from national authorities by 10:00 CEST, 26 July 2020",,
Highlights,,
WHO has published an interim guidance on safe Eid al Adha practices in the context of COVID-19. The,,
document highlights public health advice for social gatherings and religious practices that can be applied across,,
different national contexts.,,
"In Lao People’s Democratic Republic, Monks and health officials are working together to keep communities",,
"safe from COVID-19. The Ministry of Health, Lao Front for National Development and the Central Buddhist",,
"Fellowship, with technical support from the WHO Regional Office for the Western Pacific and financial support",,
"from the United States via USAID, organized a two-day engagement event to discuss community level action to",,
"prevent COVID-19 and combat the fear, stigma and discrimination outbreaks can bring.",,
"WHO has published a draft landscape of COVID-19 candidate vaccines . As of 24 July, twenty-five candidate",,
vaccines are under clinical evaluation.,,
"On 23 July, the WHO Regional Office for Africa warned of the threat posed by COVID-19 to health workers",,
"across Africa. More than 10 000 health workers in the 40 countries are reported to be infected with COVID-19 , a",,
sign of the challenges medical staff on the frontlines of the outbreak face.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,15 785 641 cases (200 625),640 016 deaths (4 823)
Africa,696 207 cases (16 245),11 708 deaths (368)
Americas,8 385 810 cases (93 499),332 589 deaths (2 890)
Eastern Mediterranean,1 469 979 cases (13 614),37 482 deaths (432)
Europe,3 216 335 cases (20 287),210 261 deaths (311)
South-East Asia,1 732 248 cases (53 254),39 786 deaths (793)
Western Pacific,284 321 cases (3 726),8 177 deaths (29)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 20 July to 26 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 26 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 26 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,434 200,12 204,6 655,312,Community transmission,0
Nigeria,39 977,438,856,11,Community transmission,0
Ghana,31 851,794,161,0,Community transmission,0
Algeria,26 159,0,1 136,0,Community transmission,1
Cameroon,16 708,0,385,0,Community transmission,1
Kenya,16 643,375,278,4,Community transmission,0
Côte d’Ivoire,15 494,241,94,0,Community transmission,0
Ethiopia,13 248,555,209,9,Community transmission,0
Senegal,9 552,130,187,5,Community transmission,0
Madagascar,8 866,125,78,2,Community transmission,0
Democratic Republic of the Congo,8 766,141,200,4,Community transmission,0
Gabon,6 984,0,49,0,Community transmission,1
Guinea,6 927,60,42,0,Community transmission,0
Mauritania,6 116,0,156,0,Community transmission,1
Central African Republic,4 598,5,59,0,Community transmission,0
Zambia,4 328,475,139,5,Community transmission,0
Malawi,3 557,103,94,7,Community transmission,0
Congo,3 038,0,51,0,Community transmission,1
Mali,2 503,0,123,0,Community transmission,1
Zimbabwe,2 434,138,34,2,Clusters of cases,0
Equatorial Guinea,2 350,0,41,0,Community transmission,9

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
South Sudan,2 262,4,45,0,Community transmission,0
Cabo Verde,2 258,38,22,0,Clusters of cases,0
Eswatini,2 142,69,28,0,Community transmission,0
Guinea-Bissau,1 954,0,26,0,Community transmission,5
Sierra Leone,1 768,3,66,0,Community transmission,0
Rwanda,1 752,23,5,0,Clusters of cases,0
Benin,1 694,0,34,0,Community transmission,2
Namibia,1 687,148,7,0,Clusters of cases,0
Mozambique,1 616,26,11,0,Community transmission,0
Liberia,1 135,0,71,0,Community transmission,1
Niger,1 124,0,69,0,Community transmission,2
Uganda,1 103,14,1,0,Clusters of cases,0
Burkina Faso,1 081,6,53,0,Community transmission,0
Angola,916,36,39,4,Clusters of cases,0
Chad,915,0,75,0,Community transmission,2
