Coronavirus disease,,
(COVID-19),,
Situation Report – 189,,
"Data as received by WHO from national authorities by 10:00 CEST, 27 July 2020",,
Highlights,,
This Thursday it will be six months since WHO declared COVID-19 a Public Health Emergency of,,
International Concern. At today’s press briefing WHO Director-General Dr Tedros reiterated the basic,,
"measures that are needed to suppress transmission and save lives -- to find, isolate, test and care for cases;",,
"and trace and quarantine their contacts. “Where these measures are followed, cases go down. Where",,
"they’re not, cases go up”.",,
The Subject in Focus today highlights the Second Global Research and Innovation Forum which was,,
hosted virtually by WHO on 1 and 2 July 2020. This followed on from the first forum held in February,,
"2020. Approximately 1200 participants from nearly 100 countries convened to review the science, to",,
"establish what we know now that we didn’t know at the start of the pandemic, and to set priorities for the",,
COVID-19 research agenda.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,16 114 449 cases (254 274),646 641 deaths (5 490)
Africa,712 920 cases (16 713),11 900 deaths (192)
Americas,8 610 134 cases (150 089),337 439 deaths (3 715)
Eastern Mediterranean,1 482 315 cases (12 336),37 932 deaths (450)
Europe,3 234 043 cases (17 409),210 518 deaths (257)
South-East Asia,1 786 145 cases (53 897),40 615 deaths (829)
Western Pacific,288 151 cases (3 830),8 224 deaths (47)

"Subject in Focus: Second Global Research Forum, 1-2 July 2020",
Following on from the first Global Research and Innovation Forum hosted by WHO on 11-12,
"February, a second follow-up forum was convened virtually on 1-2 July.",
The first forum in February brought together over 350 scientists and public health experts from,
around the world to define the research priorities for COVID-19. A coordinated Global Research,
"Roadmap was developed ,using the WHO R&D Blueprint framework and based on the deliberations",
from the Forum. The research roadmap prioritized nine thematic areas of research based on agreed,
research questions and critical science gaps as they relate to COVID-19. This forum enabled thematic,
working groups to be established to carry work forward – each composed of experts led by an,
"external chair, with WHO acting as the Secretariat for each.",
"Since February, this global collaboration and coordination has been pivotal in promptly delivering",
"results and research findings to the global community. Without it, the consolidation of knowledge",
"related to the virus and disease could simply not have happened as efficiently, effectively and quickly.",
"On 1-2 July 2020, the second Global Research and Innovation Forum was held virually, allowing 1,200",
"participants from nearly 100 countries, representing all six WHO regions. An important element of",
this second Forum was to sustain the momentum generated during the February meeting within the,
"global scientific community, and to ensure regional and country office counterparts have the",
opportunity to engage and be updated on research progress for COVID-19.,
The follow-up forum took stock of the progress made; reviewed critical research findings against the,
nine thematic areas of research; discussed new emerging research questions and science gaps; and,
defined the research priorities for the remainder of the year and beyond.,
"Specifically, the forum reviewed the accumulated scientific knowledge around the following areas:",
o,Clinical characterization and the effect of support therapies in survival
o,"Transmission, severity, susceptibility, and control and mitigation measures"
o,Zoonotic sources and new animal reservoir with ability to transmit to humans
o,Viral shedding and transmission dynamics
o,Protecting health care workers and the public from the virus during the pandemic
o,Repurposing existing drugs to treat severe hospitalized cases of COVID-19
o,The social sciences of COVID-19 including the effects on mental health and others
"In addition, the forum discussed the following prioity research questions:",
o,How to continue to develop robust evidence to inform standard of care?
o,How can epidemiological studies further contribute to controlling the virus?
o,How to tailor the selection and evaluation of therapeutics to increased understanding of the
,disease?
o,How to ensure most candidate vaccines are adequately evaluated until they fail ?
o,"For clinical trials for vaccines, what study designs need to be considered?"
o,What are the key methodological considerations to achieve speed and rigour in the development of a
,vaccine?

This Forum helped to highlight that research continues to be a critical tool to inform the response to
the COVID-19 pandemic. This research is helping to save lives now and will continue to do so in the
"future. In a time of global crisis, the spotlight and the eyes of the world are on science to help control"
the current pandemic and to better safeguard our future with measures that can help prevent another
outbreak.
The media briefing on the outcomes of the Forum are available on this link:
https://www.youtube.com/watch?v=yjdiGRRAxjg
Forum presentations are available for the next two weeks on:
https://www.dropbox.com/sh/wllc2fv9sxx11mr/AABs8t137XCnZ_i2Z7BA3FE-a?dl=0

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 21 July to 27 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 27 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 27 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,445 433,11 233,6 769,114,Community transmission,0
Nigeria,40 532,555,858,2,Community transmission,0
Ghana,32 437,586,161,0,Community transmission,0
Algeria,27 357,1 198,1 155,19,Community transmission,0
Cameroon,17 110,402,391,6,Community transmission,0
Kenya,16 643,0,278,0,Community transmission,1
Côte d’Ivoire,15 596,102,96,2,Community transmission,0
Ethiopia,13 968,720,223,14,Community transmission,0
Senegal,9 681,129,191,4,Community transmission,0
Madagascar,9 295,429,85,7,Community transmission,0
Democratic Republic of the Congo,8 830,64,203,3,Community transmission,0
Guinea,7 008,81,43,1,Community transmission,0
Gabon,6 984,0,49,0,Community transmission,2
Mauritania,6 171,55,156,0,Community transmission,0
Central African Republic,4 598,0,59,0,Community transmission,1
Zambia,4 481,153,139,0,Community transmission,0
Malawi,3 664,107,99,5,Community transmission,0
Congo,3 159,121,54,3,Community transmission,0
Zimbabwe,2 512,78,34,0,Clusters of cases,0
Mali,2 510,7,123,0,Community transmission,0
Equatorial Guinea,2 350,0,41,0,Community transmission,10

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 307,49,22,0,Clusters of cases,0
South Sudan,2 305,43,46,1,Community transmission,0
Eswatini,2 207,65,32,4,Community transmission,0
Guinea-Bissau,1 954,0,26,0,Community transmission,6
Rwanda,1 823,71,5,0,Clusters of cases,0
Sierra Leone,1 783,15,66,0,Community transmission,0
Namibia,1 774,87,8,1,Clusters of cases,0
Benin,1 770,76,35,1,Community transmission,0
Mozambique,1 669,53,11,0,Community transmission,0
Liberia,1 162,27,72,1,Community transmission,0
Niger,1 132,8,69,0,Community transmission,0
Uganda,1 115,12,2,1,Clusters of cases,0
Burkina Faso,1 086,5,53,0,Community transmission,0
Angola,932,16,40,1,Clusters of cases,0
Chad,915,0,75,0,Community transmission,3
Togo,868,15,18,1,Community transmission,0
Sao Tome and Principe,863,1,14,0,Clusters of cases,0
Botswana,686,0,1,0,Clusters of cases,2
United Republic of Tanzania,509,0,21,0,Community transmission,80
Lesotho,505,59,12,1,Clusters of cases,0
Burundi,361,16,1,0,Clusters of cases,0
Comoros,354,14,7,0,Community transmission,0
Mauritius,344,0,10,0,Sporadic cases,2

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 277 61 6 0 Sporadic cases 0,,,,,,
Eritrea 263 0 0 0 Sporadic cases 1,,,,,,
Seychelles,107,0,0,0,Sporadic cases,4
Territoriesii,,,,,,
Mayotte,2 873,0,38,0,Clusters of cases,2
Réunion,657,0,3,0,Clusters of cases,1
Americas,,,,,,
United States of America,4 148 011,63 968,145 727,929,Community transmission,0
Brazil,2 394 513,51 147,86 449,1 211,Community transmission,0
Mexico,385 036,6 751,43 374,729,Community transmission,0
Peru,379 884,3 923,18 030,187,Community transmission,0
Chile,345 790,2 198,9 112,92,Community transmission,0
Colombia,240 795,7 254,8 269,294,Community transmission,0
Argentina,158 321,4 801,2 913,66,Community transmission,0
Canada,113 556,350,8 885,4,Community transmission,0
Ecuador,80 694,658,5 515,8,Community transmission,0
Bolivia (Plurinational State of),68 281,1 825,2 535,62,Community transmission,0
Dominican Republic,62 908,2 012,1 063,8,Community transmission,0
Panama,58 864,871,1 275,25,Community transmission,0
Guatemala,45 053,561,1 734,35,Community transmission,0
Honduras,38 438,879,1 098,37,Community transmission,0
Venezuela (Bolivarian Republic of),14 929,666,138,4,Community transmission,0
El Salvador,14 630,409,400,10,Community transmission,0
Costa Rica,14 600,931,98,11,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,7 297,37,157,1,Community transmission,0
Paraguay,4 328,104,40,2,Community transmission,0
Nicaragua,3 004,0,108,0,Community transmission,5
Cuba,2 495,17,87,0,Clusters of cases,0
Suriname,1 381,76,23,0,Clusters of cases,0
Uruguay,1 174,8,34,0,Clusters of cases,0
Jamaica,837,6,10,0,Clusters of cases,0
Guyana,360,8,20,0,Clusters of cases,0
