Coronavirus disease,,
(COVID-19),,
Situation Report – 190,,
"Data as received by WHO from national authorities by 10:00 CEST, 28 July 2020",,
Highlights,,
"WHO has published an interim guidance on Considerations for implementing mass treatment, active case-",,
finding and population-based surveys for neglected tropical diseases in the context of the COVID-19,,
"pandemic. The document proposes a two-step approach: a risk–benefit assessment, to decide if the",,
"planned neglected tropical diseases activity should proceed, and a review of a list of precautionary",,
"measures, to decide how the planned activity should be implemented.",,
Ethiopia vaccinates nearly 15 million children against measles despite COVID-19 challenges. The,,
"campaign’s target was 15 million children and it attained 96% coverage (14.4 million), showing that even",,
"with the ongoing COVID-19 pandemic, countries can continue to carry out life-saving mass vaccinations.",,
The WHO Regional Office for the Americas and the Caribbean Development Bank (CDB) launched the,,
“Stronger Together” campaign to assist communities in promoting mental wellbeing and positive coping,,
strategies during times of stress and crisis. The awareness campaign will run until November 2020 and,,
includes a range of promotional materials and media.,,
Today’s Subject in Focus provides an update on Infodemics management.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,16 341 920 cases (226 783),650 805 deaths (4 153)
Africa,726 105 cases (13 185),12 257 deaths (357)
Americas,8 728 962 cases (118 828),339 651 deaths (2 212)
Eastern Mediterranean,1 494 697 cases (12 382),38 371 deaths (439)
Europe,3 261 042 cases (26 311),210 897 deaths (368)
South-East Asia,1 838 380 cases (52 235),41 366 deaths (751)
Western Pacific,291 993 cases (3 842),8 250 deaths (26)

Subject in Focus: Infodemics Management – ‘The FoRCCE’ Regions helping,
Regions through Risk Communication and Community Engagement (RCCE),
A strong network of Risk Communication and Community Engagement (RCCE) in WHO’s regional,
"offices has developed a high volume of consistent yet adaptable messages, materials and strategies.",
The network was informally named the Formidable Officers of RCCE (The FoRCCE) and has been,
supporting country preparedness under the Pandemic Influenza Preparedness (PIP) framework,
since 2019.,
"In January 2020, the FoRCCE teamed up with WHO headquarters to share materials, messages and",
strategies related to COVID-19 that could be adapted for use in other regions. Coordination with,
"each of the regional offices meant that the network could foresee issues on the horizon, as countries",
responded to COVID-19 at different times. They could also avoid duplication of work and possible,
"confusion in messaging, while identifying gaps, myths and misinformation occurring in countries",
across the world.,
Materials developed in one region are being translated and used by others. Below are examples of,
materials created in one region and amplified around the world :,
•,the Regional Office for Africa shared its experience with community engagement;
•,the Regional Office for the Americas created an informative guide for journalists on COVID-19;
•,the Regional Office for the Eastern Mediterranean regional office produced a home care video ;
•,the Regional Office for Europe developed a Behavioural Insights tool which is being used across
,Europe and many other countries (Figure 1);
Figure 1: Behaviour insights-tool-chart from WHO Regional Office for Europe,

•,the Regional Office for South-East Asia focused on misinformation management by developing a
,"rumour monitoring framework and rumour repository, partnering with factcheckers and"
,"amplifying facts through over 300 videos, infographics, and other material in 10 languages"
•,the Western Pacific Regional Office created a package for health care workers which contains a
,series of simplified messages and reminders for healthcare facilities in the context of COVID-19.
Several regional offices have been conducting webinars based on country needs. Topics have,
"included trust, coordination, partnering with the media, community engagement, rumours",
"management, social media, hotlines, reaching vulnerable groups remotely, behaviour change,",
"communicating the risk of large-scale community transmission, integrating risk assessment and",
"risk communication, stigma and discrimination, communicating uncertainty, ‘ensuring impact:",
"monitoring and evaluation of risk communication’, and the role of behavioral surveillance. Some of",
these webinars will soon be available for viewing at epi-win.who.int.,

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 22 July to 28 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 28 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 28 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,452 530,7 097,7 067,298,Community transmission,0
Nigeria,41 180,648,860,2,Community transmission,0
Ghana,33 624,1 187,168,7,Community transmission,0
Algeria,27 973,616,1 163,8,Community transmission,0
Kenya,17 975,1 332,285,7,Community transmission,0
Cameroon,17 179,69,391,0,Community transmission,0
Côte d’Ivoire,15 655,59,96,0,Community transmission,0
Ethiopia,14 547,579,228,5,Community transmission,0
Senegal,9 764,83,194,3,Community transmission,0
Madagascar,9 690,395,91,6,Community transmission,0
Democratic Republic of the Congo,8 843,13,207,4,Community transmission,0
Gabon,7 189,205,49,0,Community transmission,0
Guinea,7 055,47,45,2,Community transmission,0
Mauritania,6 208,37,156,0,Community transmission,0
Central African Republic,4 599,1,59,0,Community transmission,0
Zambia,4 552,71,140,1,Community transmission,0
Malawi,3 709,45,103,4,Community transmission,0
Congo,3 159,0,54,0,Community transmission,1
Zimbabwe,2 704,192,36,2,Clusters of cases,0
Mali,2 513,3,124,1,Community transmission,0
Equatorial Guinea,2 350,0,41,0,Community transmission,11

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 328,21,22,0,Clusters of cases,0
Eswatini,2 316,109,34,2,Community transmission,0
South Sudan,2 305,0,46,0,Community transmission,1
Guinea-Bissau,1 954,0,26,0,Community transmission,7
Rwanda,1 879,56,5,0,Clusters of cases,0
Namibia,1 842,68,8,0,Clusters of cases,0
Sierra Leone,1 783,0,66,0,Community transmission,1
Benin,1 770,0,35,0,Community transmission,1
Mozambique,1 701,32,11,0,Community transmission,0
Liberia,1 167,5,72,0,Community transmission,0
Niger,1 132,0,69,0,Community transmission,1
Uganda,1 128,13,2,0,Clusters of cases,0
Burkina Faso,1 100,14,53,0,Community transmission,0
Angola,950,18,41,1,Clusters of cases,0
Chad,922,7,75,0,Community transmission,0
Togo,874,6,18,0,Community transmission,0
Sao Tome and Principe,865,2,14,0,Clusters of cases,0
Botswana,739,53,2,1,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,81
Lesotho,505,0,12,0,Clusters of cases,1
Burundi,378,17,1,0,Clusters of cases,0
Comoros,354,0,7,0,Community transmission,1
Mauritius,344,0,10,0,Sporadic cases,3

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 326 49 8 2 Sporadic cases 0,,,,,,
Eritrea 265 2 0 0 Sporadic cases 0,,,,,,
Seychelles,114,7,0,0,Sporadic cases,0
Territoriesii,,,,,,
Mayotte,2 900,27,38,0,Clusters of cases,0
Réunion,657,0,4,1,Clusters of cases,2
Americas,,,,,,
United States of America,4 209 509,61 498,146 331,604,Community transmission,0
Brazil,2 419 091,24 578,87 004,555,Community transmission,0
Mexico,390 516,5 480,43 680,306,Community transmission,0
Peru,384 797,4 913,18 229,199,Community transmission,0
Chile,347 923,2 133,9 187,75,Community transmission,0
Colombia,248 976,8 181,8 525,256,Community transmission,0
Argentina,162 526,4 205,2 956,43,Community transmission,0
Canada,113 911,355,8 890,5,Community transmission,0
Ecuador,81 161,467,5 532,17,Community transmission,0
Bolivia (Plurinational State of),69 429,1 148,2 583,48,Community transmission,0
Dominican Republic,64 156,1 248,1 083,20,Community transmission,0
Panama,60 296,1 432,1 294,19,Community transmission,0
Guatemala,45 059,6,1 761,27,Community transmission,0
Honduras,39 276,838,1 116,18,Community transmission,0
Venezuela (Bolivarian Republic of),15 463,534,142,4,Community transmission,0
Costa Rica,15 229,629,104,6,Community transmission,0
El Salvador,15 035,405,408,8,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
