Coronavirus disease,,
(COVID-19),,
Situation Report – 191,,
"Data as received by WHO from national authorities by 10:00 CEST, 29 July 2020",,
Highlights,,
The WHO Regional Office for Europe urges Turkmenistan to activate critical measures to prepare for,,
"COVID-19 outbreaks. To date, Turkmenistan has not reported any confirmed COVID-19 cases to WHO,",,
"however, the country has recently activated measures to prevent the transmission of respiratory",,
infections within communities.,,
The COVID-19 pandemic is threatening progress made towards eliminating hepatitis B. In observance of,,
"World Hepatitis Day on 28 July, WHO has called for united and fast-tracked action to stop mother-to-child",,
transmission of viral hepatitis. “No infant should grow up only to die of hepatitis B because they were not,,
vaccinated” said WHO Director-General Dr Tedros.,,
The WHO Regional Office for the Americas collaborates with the World Food Programme and the,,
Canadian Government to facilitate delivery of Personal Protective Equipment (PPE) to support Trinidad,,
and Tobago’s COVID-19 response. The supplies were procured via the UN Supply Portal and the PAHO,,
"Strategic Fund, which facilitates procurement of diagnostics, ventilators, and PPE for the COVID-19",,
response.,,
"The National Center for Laboratory and Epidemiology (NCLE), the Ministry of Health of Lao People’s",,
"Democratic Republic, with support from the WHO Regional Office for Western Pacific, are working with",,
communities to ensure early detection of potential outbreaks of COVID-19 in Lao PDR.,,
Today’s Subject in Focus highlights recently published WHO guidance on Safe Eid al Adha practices in,,
the context of COVID-19.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,16 558 289 cases (215 127),656 093 deaths (5 274)
Africa,738 344 cases (12 239),12 519 deaths (262)
Americas,8 840 524 cases (111 562),342 635 deaths (2 984)
Eastern Mediterranean,1 507 734 cases (13 037),38 815 deaths (444)
Europe,3 283 277 cases (20 993),211 616 deaths (705)
South-East Asia,1 892 056 cases (53 676),42 233 deaths (867)
Western Pacific,295 613 cases (3 620),8 262 deaths (12)

Subject in Focus: Safe Eid al Adha practices in the context of COVID-19,
"The Eid al Adha, also called Eid Qurban (“Feast of the sacrifice”) is a celebration observed by",
"Muslims worldwide, during which families and friends unite to pray and give alms, usually meat",
from animals that have been sacrificed (hence the name).,
"Festivities may last from one to a few days, and are characterized by many social and religious",
"gatherings. During the COVID-19 pandemic, precautions need to be taken to prevent transmission",
"of the virus. On 25 July 2020, WHO published interim guidance entitled Safe Eid al Adha practices in",
the context of COVID-19 that provides guidance applicable across different national contexts.,
WHO recommends that any decision on mass gatherings should be based on a careful assessment of,
all risk factors associated with the event. Guidance documents and tools have been developed to,
"this effect. Steps to be taken include risk evaluation, risk management and risk communication – the",
"latter of which has the aim of sharing with communities the rationale for the decisions taken, the",
measures applied and any residual risk.,
"Based on this risk-based approach, the decision may be taken to cancel a planned event or make it",
"virtual. If, on the contrary, it is decided to proceed with an event, key precautions should be",
"implemented, including basic measures for enforcing physical distancing of at least one metre",
"(three feet) between people at all times, frequent hand cleaning, and respiratory etiquette.",
Other recommendations relate to:,
•,"The venue, such as whether to hold the event outdoors and/or make it as short as possible;"
,"regulate the number and flow of people entering, attending and departing from the event;"
,enforce routine cleaning.
•,"Specific population groups, such as advising those who feel unwell or have symptoms suggestive"
,of COVID-19 and those at higher risk of developing severe illness from COVID-19 (older
,individuals and/or individuals with underliying medical conditions) to refrain from attending
,these gatherings.
"The slaughter of an animal is central to Eid al Adha. As such, the interim guidance also focuses on",
precautions that should be observed on these occasions. Although evidence indicates that infected,
"humans can infect other mammals, it remains unclear if the reverse can also occur. Animals that",
"have been shown to be able to be infected by SARS-CoV-2 include dogs, cats and farmed mink are",
"not typically sacrificed during Eid al Adha. Nevertheless, it is well known that several infectious",
"diseases can be transmitted at the human-animal interface. As such, countries are advised to follow",
"general precautionary measures relating to animal management, meat processing, and",
marketplaces as recommended by national and international food safety and hygiene regulations.,
"Precautions should also be applied by the faithful when distributing meat to those in need, so that",
"remembrance, charity and care for others can safely remain at the core of Eid al Adha’s celebrations",
during the COVID-19 pandemic.,
"The interim guidance is currently available in Arabic, English, French and Russian.",

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 23 July to 29 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 29 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
29 July 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,459 761,7 231,7 257,190,Community transmission,0
Nigeria,41 804,624,868,8,Community transmission,0
Ghana,34 406,782,168,0,Community transmission,0
Algeria,28 615,642,1 174,11,Community transmission,0
Kenya,18 581,606,299,14,Community transmission,0
Cameroon,17 179,0,391,0,Community transmission,1
Côte d’Ivoire,15 713,58,98,2,Community transmission,0
Ethiopia,15 200,653,239,11,Community transmission,0
Madagascar,10 104,414,93,2,Community transmission,0
Senegal,9 805,41,198,4,Community transmission,0
Democratic Republic of the Congo,8 872,29,207,0,Community transmission,0
Gabon,7 189,0,49,0,Community transmission,1
Guinea,7 126,71,46,1,Community transmission,0
Mauritania,6 249,41,156,0,Community transmission,0
Zambia,5 002,450,142,2,Community transmission,0
Central African Republic,4 599,0,59,0,Community transmission,1
Malawi,3 738,29,103,0,Community transmission,0
Congo,3 200,41,54,0,Community transmission,0
Zimbabwe,2 817,113,40,4,Clusters of cases,0
Mali,2 520,7,124,0,Community transmission,0
Eswatini,2 404,88,39,5,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 354,26,22,0,Clusters of cases,0
Equatorial Guinea,2 350,0,41,0,Community transmission,12
South Sudan,2 322,17,46,0,Community transmission,0
Guinea-Bissau,1 954,0,26,0,Community transmission,8
Rwanda,1 926,47,5,0,Clusters of cases,0
Namibia,1 917,75,8,0,Clusters of cases,0
Benin,1 805,35,36,1,Community transmission,0
Sierra Leone,1 786,3,66,0,Community transmission,0
Mozambique,1 720,19,11,0,Community transmission,0
Liberia,1 167,0,72,0,Community transmission,1
Uganda,1 135,7,2,0,Clusters of cases,0
Niger,1 132,0,69,0,Community transmission,2
Burkina Faso,1 105,5,53,0,Community transmission,0
Angola,1 000,50,47,6,Clusters of cases,0
Chad,926,4,75,0,Community transmission,0
Togo,874,0,18,0,Community transmission,1
Sao Tome and Principe,867,2,14,0,Clusters of cases,0
Botswana,739,0,2,0,Clusters of cases,1
United Republic of Tanzania,509,0,21,0,Community transmission,82
Lesotho,505,0,12,0,Clusters of cases,2
Burundi,378,0,1,0,Clusters of cases,1
Comoros,378,24,7,0,Community transmission,0
Mauritius,344,0,10,0,Sporadic cases,4

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 326 0 8 0 Sporadic cases 1,,,,,,
Eritrea 265 0 0 0 Sporadic cases 1,,,,,,
Seychelles,114,0,0,0,Sporadic cases,1
Territoriesii,,,,,,
Mayotte,2 905,5,39,1,Clusters of cases,0
Réunion,657,0,4,0,Clusters of cases,3
Americas,,,,,,
United States of America,4 263 531,54 022,147 449,1 118,Community transmission,0
Brazil,2 442 375,23 284,87 618,614,Community transmission,0
Mexico,395 489,4 973,44 022,342,Community transmission,0
Peru,389 717,4 920,18 418,189,Community transmission,0
Chile,349 800,1 877,9 240,53,Community transmission,0
Colombia,257 101,8 125,8 777,252,Community transmission,0
Argentina,167 416,4 890,3 082,126,Community transmission,0
Canada,114 597,686,8 901,11,Community transmission,0
Ecuador,82 279,1 118,5 584,52,Community transmission,0
Bolivia (Plurinational State of),71 181,1 752,2 647,64,Community transmission,0
Dominican Republic,64 690,534,1 101,18,Community transmission,0
Panama,61 442,1 146,1 322,28,Community transmission,0
Guatemala,46 451,1 392,1 782,21,Community transmission,0
Honduras,39 741,465,1 166,50,Community transmission,0
Venezuela (Bolivarian Republic of),15 988,525,146,4,Community transmission,0
Costa Rica,15 841,612,115,11,Community transmission,0
El Salvador,15 446,411,417,9,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,7 340,25,158,1,Community transmission,0
Paraguay,4 548,104,43,2,Community transmission,0
Nicaragua,3 080,76,116,8,Community transmission,0
Cuba,2 555,23,87,0,Clusters of cases,0
Suriname,1 483,44,24,1,Clusters of cases,0
Uruguay,1 202,10,35,1,Clusters of cases,0
Jamaica,853,11,10,0,Clusters of cases,0
Guyana,389,19,20,0,Clusters of cases,0
Bahamas,382,40,11,0,Clusters of cases,0
Trinidad and Tobago,153,5,8,0,Sporadic cases,0
Barbados,110,0,7,0,Clusters of cases,1
