Coronavirus disease,,
(COVID-19),,
Situation Report – 193,,
"Data as received by WHO from national authorities by 10:00 CEST, 31 July 2020",,
Highlights,,
"In his regular media briefing, WHO Director-General Dr Tedros highlighted the high rates of COVID-19 in long-",,
"term care facilities, drawing attention to a recently published WHO policy brief. Dr Tedros also reminded us",,
that COVID-19 is not only a disease that affects the elderly and that “young people must take the same,,
precautions to protect themselves and protect others as everyone else. They can be leaders – they should be,,
leaders and drivers of change.”,,
"During this pandemic, even the strongest health systems in the world have been overwhelmed and unable to",,
adequately provide essential health services and care for conditions not associated with COVID-19. In an,,
"address to the Virtual Symposium on the Impact of the COVID-19 Pandemic and HIV on SDG 3.3, WHO Regional",,
"Director for Europe, Dr Hans Henri P. Kluge emphasized the need to “be on the alert to expand capacity to",,
"deal with a resurgence of COVID-19 and, at the same time, to maintain essential health services.”",,
"WHO has published interim guidance on the provision of safe water, sanitation and waste management and",,
hygienic conditions which is essential for preventing disease and for protecting human health during all,,
"infectious disease outbreaks, including during the COVID-19 pandemic.",,
Today’s Subject in Focus highlights new guidance on public health considerations while resuming international,,
travel.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,17 106 007 cases (292 527),668 910 deaths (6 812)
Africa,770 421 cases (16 031),13 234 deaths (396)
Americas,9 152 173 cases (171 946),351 121 deaths (4 567)
Eastern Mediterranean,1 533 357 cases (12 612),39 661 deaths (458)
Europe,3 333 300 cases (25 241),212 520 deaths (438)
South-East Asia,2 009 963 cases (60 113),44 031 deaths (914)
Western Pacific,306 052 cases (6 584),8 330 deaths (39)

Subject in Focus: Public health considerations while resuming international
travel
"In response to the COVID-19 pandemic,198 countries/areas/territories have implemented measures that"
are significantly interfering with international traffic as defined under Article 43 of the International
Health Regulations (IHR 2005). Only one third of the 198 countries have provided a public health
"rationale for these measures, and only a few countries conduct and communicate regular risk"
"assessments and reviews of measures. As of 23 July 2020, only 63 of 198 countries/areas/territories"
have lifted measures that were implemented to restrict the international movement of people.
As countries consider to either gradually lift or re-introduce restrictions with the intention of controlling
"virus transmission, WHO published “Public health considerations while resuming international travel” in"
order to inform national decision-making processes. The publication advises countries to conduct risk
"assessments, as not doing so while restricting travel may have adverse effects on the overall public"
health situation.
"The multi-sectoral risk assessment should take into account country context, the local epidemiology and"
"transmission patterns, the national health and social measures to control the outbreak, and the"
"capacities of health systems in both departure and destination countries, including at points of entry."
Measures must be proportionate to the public health risks and should be regularly reassessed and
communicated to the public.
"The guidance underlines the importance of basic surveillance, isolation of cases, contact tracing and self-"
monitoring as well as risk communication and community engagement. Support for countries in defining
their needs and priorities is also provided in the form of an overview of capacities at points of entry
along with considerations for the use of digital tools and immunity certificates.

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 25 July to 31 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 31 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 31 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,482 169,11 046,7 812,315,Community transmission,0
Nigeria,42 689,481,878,5,Community transmission,0
Ghana,35 142,0,175,0,Community transmission,1
Algeria,29 831,602,1 200,14,Community transmission,0
Kenya,19 913,788,325,14,Community transmission,0
Cameroon,17 255,0,391,0,Community transmission,1
Ethiopia,16 615,805,263,10,Community transmission,0
Côte d’Ivoire,15 978,265,100,2,Community transmission,0
Madagascar,10 748,431,105,6,Community transmission,0
Senegal,10 106,145,204,4,Community transmission,0
Democratic Republic of the Congo,9 009,79,214,2,Community transmission,0
Gabon,7 352,0,49,0,Community transmission,1
Guinea,7 242,59,46,0,Community transmission,0
Mauritania,6 270,0,156,0,Community transmission,1
Zambia,5 555,306,149,3,Community transmission,0
Central African Republic,4 605,0,59,0,Community transmission,1
Malawi,3 981,123,109,2,Community transmission,0
Congo,3 376,176,56,2,Community transmission,0
Zimbabwe,3 092,213,53,12,Clusters of cases,0
Eswatini,2 577,26,40,0,Community transmission,0
Mali,2 522,1,124,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 418,45,23,0,Clusters of cases,0
Equatorial Guinea,2 350,0,41,0,Community transmission,14
South Sudan,2 322,0,46,0,Community transmission,2
Namibia,2 052,66,10,1,Clusters of cases,0
Rwanda,1 994,31,5,0,Clusters of cases,0
Guinea-Bissau,1 981,0,26,0,Community transmission,1
Sierra Leone,1 818,15,67,0,Community transmission,0
Mozambique,1 808,60,11,0,Community transmission,0
Benin,1 805,0,36,0,Community transmission,2
Liberia,1 181,2,73,1,Community transmission,0
Uganda,1 147,12,2,0,Clusters of cases,0
Niger,1 134,0,69,0,Community transmission,1
Burkina Faso,1 117,11,53,0,Community transmission,0
Angola,1 109,31,51,3,Clusters of cases,0
Chad,935,9,75,0,Community transmission,0
Togo,908,12,18,0,Community transmission,0
Sao Tome and Principe,870,2,15,0,Clusters of cases,0
Botswana,804,0,2,0,Clusters of cases,1
Lesotho,604,28,13,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,84
Gambia,403,77,8,0,Sporadic cases,0
Burundi,387,9,1,0,Clusters of cases,0
Comoros,382,4,7,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mauritius 344 0 10 0 Sporadic cases 6,,,,,,
Eritrea 279 14 0 0 Sporadic cases 0,,,,,,
Seychelles,114,0,0,0,Sporadic cases,3
Territoriesii,,,,,,
Mayotte,2 962,57,39,0,Clusters of cases,0
Réunion,657,0,4,0,Clusters of cases,5
Americas,,,,,,
United States of America,4 388 566,65 406,150 054,1 414,Community transmission,0
Brazil,2 552 265,69 074,90 134,1 595,Community transmission,0
Mexico,408 449,5 752,45 361,485,Community transmission,0
Peru,400 683,5 678,18 816,204,Community transmission,0
Chile,353 536,1 961,9 377,99,Community transmission,0
Colombia,276 055,8 670,9 454,380,Community transmission,0
Argentina,178 996,5 641,3 311,111,Community transmission,0
Canada,115 470,476,8 917,5,Community transmission,0
