Coronavirus disease,,
(COVID-19),,
Situation Report – 194,,
"Data as received by WHO from national authorities by 10:00 CEST, 1 August 2020",,
Highlights,,
The fourth meeting of the International Health Regulations (2005) Emergency Committee regarding COVID-19,,
was convened by the WHO Director-General on 31 July 2020. The Director-General declared that the outbreak,,
of COVID-19 continues to constitute a public health emergency of international concern (PHEIC). The,,
recommendations from the Emergency Committee highlight the need for response efforts to continue over the,,
long term.,,
"WHO has updated the interim guidance on Water, sanitation, hygiene (WASH), and waste management for",,
"SARS-CoV-2. The document provides additional details on risks associated with excreta and untreated sewage,",,
"on hand hygiene, on protecting WASH workers and on supporting the continuation and strengthening of WASH",,
"services, especially in underserved areas.",,
WHO has published a draft for Target Product Profiles (TPP) for COVID-19 therapeutics. The three sets of TPPs,,
describe the preferred and minimally acceptable profiles for therapeutic agents for the treatment of those with,,
"COVID-19, ranging from mild through critically ill patients. Comments on this document are welcomed by",,
submitting a comment form. All forms should be completed with the details of the individual or organization,,
providing the comment.,,
"For World Breastfeeding Week, WHO and UNICEF are calling on governments to protect and promote",,
"women’s access to skilled breastfeeding counselling. This is a critical component of breastfeeding support and,",,
"amidst the COVID-19 pandemic, it is even more important to find innovative solutions to ensure that access to",,
these essential services is not disrupted.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,17 396 943 cases (289 321),675 060 deaths (6 142)
Africa,788 448 cases (18 027),13 545 deaths (311)
Americas,9 320 330 cases (168 157),355 217 deaths (4 096)
Eastern Mediterranean,1 544 994 cases (11 637),40 019 deaths (358)
Europe,3 357 465 cases (22 550),212 978 deaths (450)
South-East Asia,2 072 194 cases (62 231),44 900 deaths (869)
Western Pacific,312 771 cases (6 719),8 388 deaths (58)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 26 July to 1 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 1 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 1 August 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,493 183,11 014,8 005,193,Community transmission,0
Nigeria,43 151,462,879,1,Community transmission,0
Ghana,35 501,359,182,7,Community transmission,0
Algeria,30 394,563,1 210,10,Community transmission,0
Kenya,20 636,723,341,16,Community transmission,0
Ethiopia,17 530,915,274,11,Community transmission,0
Cameroon,17 255,0,391,0,Community transmission,2
Côte d’Ivoire,16 047,69,102,2,Community transmission,0
Madagascar,10 868,120,106,1,Community transmission,0
Senegal,10 232,126,205,1,Community transmission,0
Democratic Republic of the Congo,9 069,60,214,0,Community transmission,0
Gabon,7 352,0,49,0,Community transmission,2
Guinea,7 308,66,46,0,Community transmission,0
Mauritania,6 310,40,157,1,Community transmission,0
Zambia,5 963,408,151,2,Community transmission,0
Equatorial Guinea,4 821,2 471,83,42,Community transmission,0
Central African Republic,4 608,3,59,0,Community transmission,0
Malawi,4 078,97,114,5,Community transmission,0
Congo,3 376,0,56,0,Community transmission,1
Zimbabwe,3 169,77,67,14,Clusters of cases,0
Eswatini,2 648,71,40,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mali,2 522,0,124,0,Community transmission,1
Cabo Verde,2 451,33,23,0,Clusters of cases,0
South Sudan,2 352,30,46,0,Community transmission,0
Namibia,2 129,77,10,0,Clusters of cases,0
Rwanda,2 022,28,5,0,Clusters of cases,0
Guinea-Bissau,1 981,0,27,1,Community transmission,2
Mozambique,1 864,56,11,0,Community transmission,0
Sierra Leone,1 823,5,67,0,Community transmission,0
Benin,1 805,0,36,0,Community transmission,3
Liberia,1 186,5,75,2,Community transmission,0
Uganda,1 154,7,3,1,Clusters of cases,0
Burkina Faso,1 138,21,53,0,Community transmission,0
Niger,1 136,2,69,0,Community transmission,0
Angola,1 109,0,51,0,Clusters of cases,1
Chad,936,1,75,0,Community transmission,0
Togo,927,19,18,0,Community transmission,0
Sao Tome and Principe,871,1,15,0,Clusters of cases,0
Botswana,804,0,2,0,Clusters of cases,2
Lesotho,604,0,13,0,Clusters of cases,1
United Republic of Tanzania,509,0,21,0,Community transmission,85
Gambia,498,95,9,1,Sporadic cases,0
