Coronavirus disease,,
(COVID-19),,
Situation Report – 195,,
"Data as received by WHO from national authorities by 10:00 CEST, 2 August 2020",,
Highlights,,
WHO has published a COVID-19 Preparedness and Response Progress Report. The report,,
highlights the progress made from 1 February to 30 June 2020 under the three objectives,,
outlined in the Strategic Response and Reparedness Plan: scaling up international coordination,,
"and support, scaling up country preparedness and response by pillar and accelerating research",,
"and innovation. The report also discusses some of the key challenges faced, and provides an",,
update on the resource requirements for the next phase of WHO’s response.,,
"A new report by the Economic Commission for Latin America and the Caribbean, and the WHO",,
Regional Office for the Americas has highlighted that economies in the Region will only be,,
revived if the COVID-19 curve is flattened. The report highlights that convergence and,,
"coordination between health, economic, social and productive policies are required in order",,
to control the COVID-19 pandemic.,,
A team of Russian laboratory experts is providing support to Tajikistan’s COVID-19 response.,,
"The team from Rospotrebnadzor, Russian Federation, an active member of the Global Outbreak",,
"Alert and Response Network, will assess Tajikistan’s existing laboratory system, including the",,
"flow of information, and suggest steps to strengthen the COVID-19 laboratory data",,
management system.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,17 660 523 cases (262 929),680 894 deaths (5 851)
Africa,802 792 cases (14 344),13 779 deaths (234)
Americas,9 476 763 cases (156 433),359 180 deaths (3 963)
Eastern Mediterranean,1 554 065 cases (9 071),40 386 deaths (367)
Europe,3 375 535 cases (17 419),213 284 deaths (323)
South-East Asia,2 131 165 cases (58 971),45 837 deaths (937)
Western Pacific,319 462 cases (6 691),8 415 deaths (27)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 27 July to 2 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 2 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
2 August 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,503 290,10 107,8 153,148,Community transmission,0
Nigeria,43 537,386,883,4,Community transmission,0
Ghana,35 501,0,182,0,Community transmission,1
Algeria,30 950,556,1 223,13,Community transmission,0
Kenya,21 363,727,364,23,Community transmission,0
Ethiopia,17 999,469,284,10,Community transmission,0
Cameroon,17 255,0,391,0,Community transmission,3
Côte d’Ivoire,16 109,62,102,0,Community transmission,0
Madagascar,11 273,405,107,1,Community transmission,0
Senegal,10 284,52,209,4,Community transmission,0
Democratic Republic of the Congo,9 069,0,214,0,Community transmission,1
Gabon,7 531,179,50,1,Community transmission,0
Guinea,7 308,0,46,0,Community transmission,1
Mauritania,6 310,0,157,0,Community transmission,1
Zambia,6 228,265,165,14,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,1
Central African Republic,4 614,6,59,0,Community transmission,0
Malawi,4 186,108,120,6,Community transmission,0
Zimbabwe,3 659,490,69,2,Clusters of cases,0
Congo,3 387,11,56,0,Community transmission,0
Eswatini,2 706,58,42,2,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mali,2 535,13,124,0,Community transmission,0
Cabo Verde,2 480,29,24,1,Clusters of cases,0
South Sudan,2 429,77,46,0,Community transmission,0
Namibia,2 224,95,11,1,Clusters of cases,0
Rwanda,2 042,20,5,0,Clusters of cases,0
Guinea-Bissau,1 981,0,27,0,Community transmission,3
Mozambique,1 907,43,12,1,Community transmission,0
Sierra Leone,1 835,12,67,0,Community transmission,0
Benin,1 805,0,36,0,Community transmission,4
Liberia,1 189,3,75,0,Community transmission,0
Uganda,1 176,22,4,1,Clusters of cases,0
Angola,1 148,39,52,1,Clusters of cases,0
Burkina Faso,1 143,5,53,0,Community transmission,0
Niger,1 136,0,69,0,Community transmission,1
Chad,936,0,75,0,Community transmission,1
Togo,927,0,18,0,Community transmission,1
Sao Tome and Principe,874,3,15,0,Clusters of cases,0
