Coronavirus disease,,
(COVID-19),,
Situation Report – 197,,
"Data as received by WHO from national authorities by 10:00 CEST, 4 August 2020",,
Highlights,,
"With over 18 million cases reported today, and new cases rising by around 250 000 each day, now is not the",,
"time to be complacent. As some economies and societies open up, WHO continues to urge the public to",,
remain vigilant and take precautions to avoid getting COVID-19; while urging countries to increase testing and,,
contact tracing to ensure no cases are missed and ensure appropriate treatment is available.,,
"In his regular media briefing yesterday, WHO Director-General Dr Tedros reiterated that “We have seen",,
"around the world, that it’s never too late to turn this pandemic around. If we act together today, we can save",,
"lives, we can save livelihoods if we do it all together.”",,
WHO has published a scientific brief on estimating mortality from COVID-19. The brief discusses the limitations,,
"and difficulties in interpreting the case fatality ratio of COVID-19, and potential biases that could arise in",,
ascertaining mortality.,,
Today’s ‘Subject in Focus’ summarises the work being done by the WHO Regional Office for Africa and partners,,
to respond to the COVID-19 Infodemic.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,18 142 718 cases (219 862),691 013 deaths (4 278)
Africa,825 272 cases (9 276),14 139 deaths (77)
Americas,9 741 727 cases (111 129),365 334 deaths (2 172)
Eastern Mediterranean,1 574 551 cases (9 715),41 202 deaths (420)
Europe,3 425 017 cases (28 964),214 238 deaths (647)
South-East Asia,2 242 656 cases (55 641),47 574 deaths (899)
Western Pacific,332 754 cases (5 137),8 513 deaths (63)

Subject in Focus: WHO Regional Office for Africa leads regional collaboration to,
manage the COVID-19 infodemic,
"In February 2020, WHO raised the concern of an “infodemic”, that is, an overabundance of information,",
"some accurate, some false or misleading, that occurs during a public health crisis. An infodemic can",
"ultimately undermine trust in the public health response, which can in turn lead to the prolongation of a",
crisis and to people making risky decisions.,
Given the overwhelming volume of misinformation and the ease of rapid cross-border viral spread of,
"this misinformation, an effective approach to infodemic management requires a multi-stakeholder",
"collaboration at both the global and regional levels. In Africa, WHO is leading an Alliance of partners",
"comprised of operational agencies responding to the pandemic, fact-checking organizations, media",
outlets and technology companies to work collaboratively to respond to the COVID-19 Infodemic.,
The Alliance stakeholders are working together to:,
1.,"Quickly identify infodemic risks and public information gaps in Africa, through a comprehensive"
,"multi-stakeholder social listening process that encompasses social networks, mainstream media,"
,public radio and private messaging services such as WhatsApp.
2.,"Provide an operational hub for information sharing between African agencies, fact checkers and"
,"media, allowing for deep networking of expertise to facilitate rapid response to emergent"
,threats.
3.,Create highly engaging and shareable fact-based health information and fact checks that are
,"distributed and shared widely across the continent, including by media partners."
4.,Increase the resilience of African audiences to misinformation through the creation and
,distribution of misinformation literacy content that helps increase individual awareness of the
,risks associated with health misinformation and provides basic tools and steps to help avoid
,sharing falsehoods.
5.,"Support ongoing research into the efficacy of infodemic management interventions, including"
,the assessment of the impact of communications-based interventions on public behavior.
"At present, Alliance partners are working together to share findings from social monitoring (for example",
"what new claims are emerging and what old claims are re-emerging, where is this information",
"spreading, and what trends are observable) and to share expertise to support the work of fact checkers",
"(for example technical information about vaccine testing and provision, official positions on claims",
"related to WHO.) This type of collaboration is essential in infodemic response, because it allows for a",
holistic view of the regional information ecosystem and supports a highly coordinated response.,

CASE STUDY: Debunking the ‘COVID Organics’ claims
"Between April and May 2020, claims about the efficacy of ‘COVID Organics’ as a treatment"
"had risen, including claims that some countries supported the use of these products."
These claims and WHO’s approval (or lack thereof) of the approach circulated widely on
social networks and in mainstream media.
"To understand the spread of the ‘COVID Organics’ claims, Alliance partner UN Global Pulse"
"conducted widescale monitoring that showed that at its peak, the ‘COVID Organics’ story"
"was reaching almost 14 million people per day, and that mentions of the story were"
"focused in Nigeria, South Africa, Madagascar, Ghana and Senegal."
"Fact checkers, who were part of the Alliance, quickly published numerous investigations"
"into the story and debunked many of the associated claims, with supporting information"
from WHO and other agency sources.
"Moving forward, the WHO Regional Office for Africa (AFRO) will be working through the Alliance with"
"experts in producing engaging journalistic content for social platforms, with the goal of producing fact"
checking content and misinformation literacy messages that are visually engaging and easily shareable.The Alliance will tap into features to help make the debunking of misinformation “viral” - to boost the
"reach of fact-based health information on the continent. To support this effort, and to ensure that"
"populations who do not have access to social media platforms are able to be reached, the Alliance will"
also work to distribute content and research through mainstream media outlets at a regional and
country levels.
The Africa Infodemic Response Alliance supports early detection and rapid response to infodemic risk.
"The present infodemic challenges will not end with the end of COVID-19, even if such an end were in"
"sight. Indeed, WHO AFRO anticipates that the upcoming wild poliovirus certification of eradication in the"
African Region and the introduction of the novel Oral Polio Vaccine (nOPV2) will spark new infodemic
challenges that may exacerbate fears and mistrust. The Africa Infodemic Response Alliance can play a
key long-term role in supporting effective infodemic management and response and provide a model
that can be replicated in other WHO regions in future.

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 29 July to 4 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 4 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 4 August 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,516 862,5 377,8 366,0,Community transmission,0
Nigeria,44 129,288,896,8,Community transmission,0
Ghana,37 014,0,182,0,Community transmission,1
Algeria,31 972,507,1 229,- 2,Community transmission,0
Kenya,22 597,544,382,13,Community transmission,0
Ethiopia,19 289,583,336,26,Community transmission,0
Cameroon,17 718,463,391,0,Community transmission,0
Côte d’Ivoire,16 220,38,102,0,Community transmission,0
Madagascar,11 660,132,118,4,Community transmission,0
Senegal,10 386,42,211,2,Community transmission,0
Democratic Republic of the Congo,9 132,18,214,0,Community transmission,0
Gabon,7 646,115,51,1,Community transmission,0
Guinea,7 418,54,46,0,Community transmission,0
Zambia,6 580,233,171,1,Community transmission,0
Mauritania,6 382,59,157,0,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,3
Central African Republic,4 614,0,59,0,Community transmission,2
Malawi,4 273,42,123,0,Community transmission,0
Zimbabwe,4 075,154,80,10,Clusters of cases,0
Congo,3 387,0,57,1,Community transmission,2
Eswatini,2 838,63,42,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 583,36,25,1,Clusters of cases,0
Mali,2 543,8,124,0,Community transmission,0
South Sudan,2 437,8,47,1,Community transmission,0
Namibia,2 406,112,12,1,Clusters of cases,0
Rwanda,2 092,30,5,0,Clusters of cases,0
Guinea-Bissau,1 981,0,27,0,Community transmission,5
Mozambique,1 973,27,14,1,Community transmission,0
Benin,1 914,109,38,2,Community transmission,0
Sierra Leone,1 848,5,67,0,Community transmission,0
Angola,1 280,116,58,4,Clusters of cases,0
Liberia,1 214,7,78,1,Community transmission,0
Uganda,1 195,13,5,1,Clusters of cases,0
Burkina Faso,1 150,1,53,0,Community transmission,0
Niger,1 147,9,69,0,Community transmission,0
Togo,961,34,19,1,Community transmission,0
Chad,936,0,75,0,Community transmission,3
Sao Tome and Principe,874,0,15,0,Clusters of cases,2
Botswana,804,0,2,0,Clusters of cases,5
Lesotho,718,0,19,0,Clusters of cases,1
United Republic of Tanzania,509,0,21,0,Community transmission,88
Gambia,498,0,9,0,Sporadic cases,3
Burundi,395,0,1,0,Clusters of cases,1
Comoros,386,0,7,0,Community transmission,1

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mauritius 344 0 10 0 Sporadic cases 10,,,,,,
Eritrea 282 3 0 0 Sporadic cases 0,,,,,,
Seychelles,114,0,0,0,Sporadic cases,7
Territoriesii,,,,,,
Mayotte,3 008,46,39,0,Clusters of cases,0
Réunion,667,0,4,0,Clusters of cases,1
Americas,,,,,,
United States of America,4 629 459,47 183,154 226,469,Community transmission,0
Brazil,2 733 677,25 800,94 104,541,Community transmission,0
Mexico,439 046,4 853,47 746,274,Community transmission,0
Peru,428 850,6 667,19 614,206,Community transmission,0
Chile,361 493,1 762,9 707,99,Community transmission,0
Colombia,317 651,11 470,10 650,320,Community transmission,0
Argentina,201 919,5 376,3 667,55,Community transmission,0
Canada,116 884,285,8 945,4,Community transmission,0
Ecuador,87 041,809,5 767,31,Community transmission,0
Bolivia (Plurinational State of),80 153,1 360,3 153,89,Community transmission,0
Dominican Republic,73 117,874,1 183,5,Community transmission,0
Panama,67 453,1 070,1 471,22,Community transmission,0
Guatemala,51 542,236,2 013,18,Community transmission,0
Honduras,43 197,512,1 377,9,Community transmission,0
Venezuela (Bolivarian Republic of),20 206,763,174,5,Community transmission,0
Costa Rica,18 975,788,162,8,Community transmission,0
El Salvador,17 843,395,477,10,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,7 476,8,165,0,Community transmission,0
Paraguay,5 644,159,52,0,Community transmission,0
Nicaragua,3 080,0,116,0,Community transmission,6
Cuba,2 670,24,87,0,Clusters of cases,0
Suriname,1 849,89,27,1,Clusters of cases,0
Uruguay,1 286,8,36,1,Clusters of cases,0
Jamaica,894,11,12,2,Clusters of cases,0
Bahamas,648,74,14,0,Clusters of cases,0
Guyana,474,44,21,1,Clusters of cases,0
Trinidad and Tobago,182,2,8,0,Sporadic cases,0
Barbados,132,10,7,0,Clusters of cases,0
Antigua and Barbuda,91,0,3,0,Clusters of cases,4
Belize,57,1,2,0,Sporadic cases,0
Saint Vincent and the Grenadines,55,1,0,0,Sporadic cases,0
Saint Lucia,25,0,0,0,Sporadic cases,4
Grenada,24,0,0,0,Clusters of cases,4
Dominica,18,0,0,0,Clusters of cases,52
Saint Kitts and Nevis,17,0,0,0,No cases,24
Territoriesii,,,,,,
Puerto Rico,18 791,380,230,0,Community transmission,0
French Guiana,7 948,91,44,1,Community transmission,0
United States Virgin Islands,439,1,8,0,Community transmission,0
Martinique,269,0,15,0,Clusters of cases,10
Guadeloupe,265,0,14,0,Clusters of cases,2

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
