Coronavirus disease,,
(COVID-19),,
Situation Report – 199,,
"Data as received by WHO from national authorities by 10:00 CEST, 6 August 2020",,
Highlights,,
The WHO Regional Office for the Americas has issued a warning against the use of chlorine,,
products as treatment for COVID-19. WHO recommends that people avoid consuming products,,
"containing chlorine dioxide or related substances (sodium hypochlorite, bleach, etc.) and that",,
all marketing of such products for therapeutic purposes be reported to the authorities.,,
The South African COVID-19 response is being bolstered by a surge team of health experts,,
"from WHO. The surge team will be jointly led by Dr Matshidiso Moeti, WHO Regional Director",,
"for Africa and Dr Michael Ryan, Executive Director of the WHO Health Emergencies Programme.",,
Forty-three experts from various fields will be deployed to support the COVID-19 outbreak,,
response management.,,
The WHO Regional Office for South-East Asia has urged countries in the region to maintain,,
"essential healthcare and accelerate the resumption of services that have been disrupted, by the",,
"pandemic, as an integral part of the COVID-19 response. Since the outbreak of COVID-19,",,
"repurposing of health workers, cancellation of elective care, closure of outpatient services,",,
"insufficient personal protective equipment, and changes in treatment policy have significantly",,
impacted the delivery of essential services.,,
Today’s ‘Subject in Focus’ provides an overview of discussions on the Global Multidisciplinalry,,
Discussion on SARS-CoV-2 Modes of Transmission.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,18 614 177 cases (259 344),702 642 deaths (6 488)
Africa,848 053 cases (13 906),15 252 deaths (502)
Americas,9 981 204 cases (139 362),372 008 deaths (4 074)
Eastern Mediterranean,1 598 640 cases (13 182),42 052 deaths (451)
Europe,3 477 225 cases (25 178),215 168 deaths (430)
South-East Asia,2 360 721 cases (61 288),49 572 deaths (1 003)
Western Pacific,347 593 cases (6 428),8 577 deaths (28)

Subject in Focus: Global Multidisciplinary Platform Discussion on
SARS-CoV-2 Modes of Transmission
"On 3 August 2020, WHO hosted a Global Multidisciplinary Platform Discussion on SARS-"
CoV-2 Modes of Transmission on 3 August attended by more than 700 participants.
"Attendees included international experts in epidemiology, laboratory, infection prevention"
and control and clinical management international working groups of the WHO R&D
Blueprint for COVID-19 and researchers from other technical disciplines (see below). It
"also included national and international institutions including US CDC, ECDC and Global"
"Research Collaboration for Infectious Disease Preparedness (GLOPID-R ), as well as WHO"
staff from all over the world. This discussion focused on the rapid progress of available
research on SARS-CoV-2 transmission.
"Understanding transmission of SARS-CoV-2, the virus that causes COVID-19, was identified"
as a priority for research since the beginning of the pandemic and the February and July
2020 global R&D Blueprint meetings reiterated this priority. The meeting this week
brought together researchers to present the latest scientific evidence and identify
knowledge gaps and best methods to undertake the high-quality comprehensive research
"studies to better understand how, when and where transmission of the virus occurs. The"
"discussion included perspectives from experts in the fields of public health, infectious"
"respiratory diseases, virology, engineering and physical sciences, epidemiology,"
"phylogenetics, clinical management, social sciences, and infection prevention and control."
"Speakers discussed existing evidence on several modes of transmission - contact, droplet"
and airborne transmission - as well as on environmental contamination associated with
the fomite and fecal-oral routes of transmission. A panel of international experts focused
"on understanding how the virus is transmitted, when people are transmitting during the"
"course of their infection, and where the virus is transmitted more readily (that is what"
"settings, duration and intensity of exposure, and virologic, environmental, behavioural,"
"and sociological factors influence transmission), including characteristics of"
superspreading events. Possible “opportunistic” airborne transmission in community and
"healthcare settings was also discussed, with emphasis on the need for more research to"
better understand and prevent the conditions in which this may occur.
High-quality research is urgently needed to further improve our understanding of the
"transmission dynamics of SARS-CoV-2, risk factors for infection, settings and conditions"
which can amplify transmission and to understand infectious dose.
WHO will summarize the discussions and conclusions in a future publication. It will also
work with experts to develop further standardized protocols outlining the best research
"methodologies, and seek funding opportunities with partners to support investigations in"
this important area.
Current WHO Modes of Transmission research published 9 July 2020 is available online
at:https://www.who.int/news-room/commentaries/detail/transmission-of-sars-cov-2-
implications-for-infection-prevention-precautions

WHO standardized study protocols for COVID-19 are available at:
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-
guidance/early-investigations

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 31 July to 6 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 6 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
6 August 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,529 877,8 559,9 298,414,Community transmission,0
Nigeria,44 890,457,927,17,Community transmission,0
Ghana,39 075,1 263,199,8,Community transmission,0
Algeria,33 055,551,1 261,13,Community transmission,0
Kenya,23 873,671,391,3,Community transmission,0
Ethiopia,20 336,461,356,13,Community transmission,0
Cameroon,17 718,0,391,0,Community transmission,2
Côte d’Ivoire,16 349,56,103,0,Community transmission,0
Madagascar,12 222,327,127,4,Community transmission,0
Senegal,10 538,106,218,4,Community transmission,0
Democratic Republic of the Congo,9 252,75,214,0,Community transmission,0
Gabon,7 787,141,51,0,Community transmission,0
Guinea,7 575,86,49,1,Community transmission,0
Zambia,7 022,442,176,5,Community transmission,0
Mauritania,6 444,26,157,0,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,5
Central African Republic,4 618,0,59,0,Community transmission,1
Malawi,4 426,65,136,8,Community transmission,0
Zimbabwe,4 339,118,84,3,Clusters of cases,0
Congo,3 546,0,58,0,Community transmission,1
Eswatini,2 909,53,53,4,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 689,58,27,1,Clusters of cases,0
Mali,2 546,3,124,0,Community transmission,0
Namibia,2 540,70,12,0,Clusters of cases,0
South Sudan,2 450,13,47,0,Community transmission,0
Rwanda,2 104,5,5,0,Clusters of cases,0
Mozambique,2 079,50,15,0,Community transmission,0
Guinea-Bissau,2 032,10,27,0,Community transmission,0
Benin,1 936,0,38,0,Community transmission,1
Sierra Leone,1 860,5,67,0,Community transmission,0
Angola,1 395,51,62,3,Clusters of cases,0
Liberia,1 221,5,78,0,Community transmission,0
Uganda,1 213,10,5,0,Clusters of cases,0
Burkina Faso,1 156,3,54,0,Community transmission,0
Niger,1 152,0,69,0,Community transmission,1
Togo,988,12,19,0,Community transmission,0
Chad,939,1,75,0,Community transmission,0
Gambia,935,136,16,0,Sporadic cases,0
Sao Tome and Principe,878,3,15,0,Clusters of cases,0
Botswana,804,0,2,0,Clusters of cases,7
Lesotho,726,0,21,0,Clusters of cases,1
United Republic of Tanzania,509,0,21,0,Community transmission,90
Burundi,400,5,1,0,Clusters of cases,0
Comoros,388,0,7,0,Community transmission,1

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mauritius 344 0 10 0 Sporadic cases 12,,,,,,
Eritrea 282 0 0 0 Sporadic cases 2,,,,,,
Seychelles,114,0,0,0,Sporadic cases,9
Territoriesii,,,,,,
Mayotte,3 031,8,39,0,Clusters of cases,0
Réunion,670,1,5,1,Clusters of cases,0
Americas,,,,,,
United States of America,4 728 239,49 629,156 050,1 098,Community transmission,0
Brazil,2 801 921,51 603,95 819,1 154,Community transmission,0
Mexico,449 961,6 148,48 869,857,Community transmission,0
Peru,439 890,6 790,20 007,196,Community transmission,0
Chile,364 723,1 761,9 792,47,Community transmission,0
Colombia,334 979,7 129,11 315,298,Community transmission,0
Argentina,213 535,6 792,4 009,146,Community transmission,0
Canada,117 792,761,8 958,11,Community transmission,0
Ecuador,88 866,903,5 847,39,Community transmission,0
Bolivia (Plurinational State of),83 361,1 515,3 320,92,Community transmission,0
Dominican Republic,75 660,1 365,1 222,9,Community transmission,0
Panama,69 424,968,1 522,25,Community transmission,0
Guatemala,53 509,1 144,2 072,35,Community transmission,0
Honduras,44 299,505,1 400,16,Community transmission,0
Venezuela (Bolivarian Republic of),21 438,684,187,7,Community transmission,0
Costa Rica,19 837,435,181,10,Community transmission,0
El Salvador,18 701,439,498,12,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,7 532,21,171,5,Community transmission,0
Paraguay,5 852,128,59,4,Community transmission,0
Nicaragua,3 266,0,123,0,Community transmission,1
Cuba,2 726,25,88,0,Clusters of cases,0
Suriname,1 981,88,27,0,Community transmission,0
Uruguay,1 300,9,37,1,Clusters of cases,0
Jamaica,920,15,12,0,Clusters of cases,0
Bahamas,715,36,14,0,Clusters of cases,0
Guyana,497,23,22,1,Clusters of cases,0
Trinidad and Tobago,197,5,8,0,Clusters of cases,0
