Coronavirus disease,,
(COVID-19),,
Situation Report – 200,,
"Data as received by WHO from national authorities by 10:00 CEST, 7 August 2020",,
Highlights,,
"As the continent nears one million cases, WHO is increasing COVID-19 support to hotspot",,
countries in Africa. Altogether more than 40 public health experts are expected to provide,,
"surge support, working with national and provincial counterparts on key areas of the response.",,
The Pan-American Health Organization/WHO Regional Office for the Americas/has drawn upon,,
the Strategic Fund for Public Health Supplies to procure and distribute millions of COVID-19,,
"diagnostic kits, Personal Protective Equipment (PPE), and other essential health supplies to",,
"countries throughout the region. Thus far, over 10 million PCR diagnostic tests have been sent",,
"to six countries. The Strategic Fund also helped finance PPE including face shields, gloves,",,
"goggles, gowns, masks and respirators for 26 countries in the region.",,
Environmental surveillance by testing of waste water for evidence of pathogens has a long,,
history of use in public health. WHO has published a scientific brief on how this form of,,
surveillance is being used in the context of the ongoing COVID-19 pandemic.,,
Developing a vaccine against COVID-19 is one of the most pressing challenges of our time.,,
WHO has published two new documents on the COVID-19 Vaccines Global Access Facility. One,,
outlines global procurement for COVID-19 vaccines and the other focuses on insuring,,
accelerated vaccine development and manufacturing.,,
Today’s ‘Subject in Focus’ provides a summary of the 4th meeting of the IHR Emergency,,
Committee for COVID-19. The Committee noted the anticipated lengthy duration of the COVID-,,
"19 pandemic, and the importance of sustained community, national, regional, and global",,
response efforts.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,18 902 735 cases (278 291),709 511 deaths (6 815)
Africa,860 507 cases (12 454),15 652 deaths (400)
Americas,10 135 322 cases (154 118),376 606 deaths (4 598)
Eastern Mediterranean,1 610 798 cases (12 412),42 403 deaths (353)
Europe,3 513 219 cases (25 473),215 640 deaths (416)
South-East Asia,2 428 584 cases (67 863),50 571 deaths (999)
Western Pacific,353 564 cases (5 971),8 626 deaths (49)

Subject in Focus: 4th meeting of the IHR Emergency Committee for,
COVID-19,
The fourth meeting of the International Health Regulations (IHR 2005) Emergency,
Committee for COVID-19 was convened by the WHO Director-General on 31 July 2020.,
"The Director-General welcomed the Emergency Committee, highlighted the advances in",
"global understanding of the SARS-CoV-2, the virus that causes CVID-19, since the",
declaration of a Public Health Emergency of International Concern (PHEIC) on 30 January,
"2020, and outlined key areas where further attention by the Emergency Committee was",
needed.,
The Emergency Committee highlighted the anticipated lengthy duration of the COVID-,
"19 pandemic, noting the importance of sustained community, national, regional, and",
"global response efforts. It encouraged all individuals, in particular young people,",
and communities to continue to play an active role in preventing and controlling,
"COVID-19. In support of this, the Emergency Committee recognized that States",
Parties should enable and support communities and individuals and thus build trust,
in governments’ response measures.,
"Following the advice of the Emergency Committee, the Director-General determined that",
the COVID-19 pandemic continues to constitute a PHEIC. He accepted the revised advice of,
the Emergency Committee to WHO and issued the Emergency Committee’s advice to,
States Parties as Temporary Recommendations under the IHR (2005). The areas for WHO,
advice and the Temporary Recommendations are as follows:,
•,Learning and sharing good practices on pandemic response
•,"Coordination, political commitment and solidarity to support global response"
•,Sustained evidence-based response for the long-run to reduce risk of response
,fatigue
•,"Surveillance, testing and contact tracing"
•,Research on the virus and on the effectiveness of response measures
•,"Risk communication, community engagement and management of infodemics"
•,Vaccines and therapeutics
•,International travel
•,Essential health services
"The Emergency Committee will be reconvened within three months or earlier, at the",
discretion of the Director-General.,
The Statement on the fourth meeting provides further details on proceedings and advice,
provided by the Emergency Committee.,

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 1 August to 7 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 7 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
7 August 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,538 184,8 307,9 604,306,Community transmission,0
Nigeria,45 244,354,930,3,Community transmission,0
Ghana,39 642,567,199,0,Community transmission,0
Algeria,33 626,571,1 273,12,Community transmission,0
Kenya,24 411,538,399,8,Community transmission,0
Ethiopia,20 900,564,365,9,Community transmission,0
Cameroon,17 718,0,391,0,Community transmission,3
Côte d’Ivoire,16 447,98,103,0,Community transmission,0
Madagascar,12 526,304,134,7,Community transmission,0
Senegal,10 715,177,223,5,Community transmission,0
Democratic Republic of the Congo,9 308,56,214,0,Community transmission,0
Gabon,7 787,0,51,0,Community transmission,1
Guinea,7 664,89,49,0,Community transmission,0
Zambia,7 164,142,199,23,Community transmission,0
Mauritania,6 473,29,157,0,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,6
Central African Republic,4 620,2,59,0,Community transmission,0
Malawi,4 491,65,137,1,Community transmission,0
Zimbabwe,4 395,56,97,13,Clusters of cases,0
Congo,3 637,91,58,0,Community transmission,0
Eswatini,2 968,59,55,2,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,2 734,45,27,0,Clusters of cases,0
Namibia,2 652,112,15,3,Clusters of cases,0
Mali,2 552,6,124,0,Community transmission,0
South Sudan,2 450,0,47,0,Community transmission,1
Mozambique,2 120,41,15,0,Community transmission,0
Rwanda,2 111,7,5,0,Clusters of cases,0
Guinea-Bissau,2 032,0,27,0,Community transmission,1
Benin,1 936,0,38,0,Community transmission,2
Sierra Leone,1 877,17,68,1,Community transmission,0
Angola,1 483,88,64,2,Clusters of cases,0
Liberia,1 224,3,78,0,Community transmission,0
Uganda,1 223,10,5,0,Clusters of cases,0
Burkina Faso,1 158,2,54,0,Community transmission,0
Niger,1 153,1,69,0,Community transmission,0
Togo,1 001,13,21,2,Community transmission,0
Chad,942,3,76,1,Community transmission,0
Gambia,935,0,16,0,Sporadic cases,1
Sao Tome and Principe,878,0,15,0,Clusters of cases,1
Botswana,804,0,2,0,Clusters of cases,8
Lesotho,742,16,23,2,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,91
Burundi,401,1,1,0,Clusters of cases,0
Comoros,396,8,7,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mauritius 344 0 10 0 Sporadic cases 13,,,,,,
Eritrea 282 0 0 0 Sporadic cases 3,,,,,,
Seychelles,114,0,0,0,Sporadic cases,10
Territoriesii,,,,,,
Mayotte,3 042,11,39,0,Clusters of cases,0
Réunion,671,1,5,0,Clusters of cases,0
Americas,,,,,,
United States of America,4 781 612,53 373,157 357,1 307,Community transmission,0
Brazil,2 859 073,57 152,97 256,1 437,Community transmission,0
Mexico,456 100,6 139,49 698,829,Community transmission,0
Peru,447 624,7 734,20 228,221,Community transmission,0
Chile,366 671,1 948,9 889,97,Community transmission,0
Colombia,345 714,10 735,11 624,309,Community transmission,0
Argentina,220 682,7 147,4 135,126,Community transmission,0
Canada,118 187,395,8 962,4,Community transmission,0
Ecuador,90 537,1 671,5 877,30,Community transmission,0
Bolivia (Plurinational State of),85 141,1 780,3 385,65,Community transmission,0
Dominican Republic,76 536,876,1 246,24,Community transmission,0
Panama,70 231,807,1 553,31,Community transmission,0
Guatemala,54 339,830,2 119,47,Community transmission,0
Honduras,45 098,799,1 423,23,Community transmission,0
Venezuela (Bolivarian Republic of),22 299,861,195,8,Community transmission,0
Costa Rica,20 417,580,191,10,Community transmission,0
El Salvador,19 126,425,513,15,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,7 544,12,171,0,Community transmission,0
