Coronavirus disease,,
(COVID-19),,
Situation Report – 201,,
"Data as received by WHO from national authorities by 10:00 CEST, 8 August 2020",,
Highlights,,
WHO has published guidance on the public health surveillance of coronavirus disease 2019,,
(COVID-19) in humans caused by infection with severe acute respiratory syndrome coronavirus,,
2 (SARS-CoV-2). This document combines and supersedes the Global surveillance guidance for,,
"COVID-19 caused by human infection with COVID-19 virus: Interim guidance, and Surveillance",,
strategies for COVID-19 human infection: Interim Guidance 10 May 2020.,,
"A plane carrying 20 tonnes of trauma and surgical supplies from WHO has landed in Beirut,",,
Lebanon to support the treatment of patients injured by the blast which occurred in the city on,,
"4 August. This latest emergency has occurred at a time of recent civil unrest, economic crisis,",,
"the COVID-19 outbreak and heavy refugee burden. “We are in this together, and we are",,
"committed to supporting Lebanon in this very difficult time” said Dr Najat Rochdi, UN Resident",,
Coordinator in Lebanon.,,
"Epidemics and Public Health Emergency Operations Centre opens in Skopje, North Macedonia.",,
"At the Centre’s inauguration Dr Hans Henri P. Kluge, WHO Regional Director for Europe",,
commended North Macedonia for its commitment to strengthening public health capacity to,,
"fight COVID-19. Dr Venko Filipce, Minister of Health of North Macedonia, thanked WHO for its",,
continuous support in the COVID-19 response and shared that the Centre will play a critical role,,
in North Macedonia’s preparedness and response.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,19 187 943 cases (284 441),716 075 deaths (6 565)
Africa,872 501 cases (11 994),16 041 deaths (389)
Americas,10 290 444 cases (155 122),380 894 deaths (4 288)
Eastern Mediterranean,1 623 451 cases (12 653),42 759 deaths (356)
Europe,3 545 395 cases (31 409),216 097 deaths (458)
South-East Asia,2 496 001 cases (67 417),51 608 deaths (1 037)
Western Pacific,359 410 cases (5 846),8 663 deaths (37)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 2 August to 8 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 8 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
8 August 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,545 476,7 292,9 909,305,Community transmission,0
Nigeria,45 687,443,936,6,Community transmission,0
Ghana,40 097,455,206,7,Community transmission,0
Algeria,34 155,529,1 282,9,Community transmission,0
Kenya,25 138,727,413,14,Community transmission,0
Ethiopia,21 452,552,380,15,Community transmission,0
Cameroon,18 042,324,395,4,Community transmission,0
Côte d’Ivoire,16 524,77,104,1,Community transmission,0
Madagascar,12 708,182,135,1,Community transmission,0
Senegal,10 887,172,225,2,Community transmission,0
Democratic Republic of the Congo,9 354,46,218,4,Community transmission,0
Gabon,7 923,136,51,0,Community transmission,0
Guinea,7 777,113,50,1,Community transmission,0
Zambia,7 164,0,199,0,Community transmission,1
Mauritania,6 498,25,157,0,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,7
Central African Republic,4 641,21,59,0,Community transmission,0
Malawi,4 575,84,137,0,Community transmission,0
Zimbabwe,4 451,56,102,5,Clusters of cases,0
Congo,3 664,27,58,0,Community transmission,0
Eswatini,3 036,68,56,1,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia,2 802,150,16,1,Clusters of cases,0
Cabo Verde,2 780,46,29,2,Clusters of cases,0
Mali,2 561,9,125,1,Community transmission,0
South Sudan,2 463,13,47,0,Community transmission,0
Mozambique,2 213,93,15,0,Community transmission,0
Rwanda,2 128,17,5,0,Clusters of cases,0
Guinea-Bissau,2 052,20,29,2,Community transmission,0
Benin,1 936,0,38,0,Community transmission,3
Sierra Leone,1 887,10,68,0,Community transmission,0
Angola,1 538,55,67,3,Clusters of cases,0
Uganda,1 254,31,6,1,Clusters of cases,0
Liberia,1 230,6,78,0,Community transmission,0
Burkina Faso,1 162,4,54,0,Community transmission,0
Niger,1 153,0,69,0,Community transmission,1
Gambia,1 090,155,19,3,Sporadic cases,0
Togo,1 012,11,22,1,Community transmission,0
Chad,942,0,76,0,Community transmission,1
Sao Tome and Principe,878,0,15,0,Clusters of cases,2
Botswana,804,0,2,0,Clusters of cases,9
Lesotho,742,0,23,0,Clusters of cases,1
United Republic of Tanzania,509,0,21,0,Community transmission,92
Burundi,401,0,1,0,Clusters of cases,1
