Coronavirus disease,,
(COVID-19),,
Situation Report – 202,,
"Data as received by WHO from national authorities by 10:00 CEST, 9 August 2020",,
Highlights,,
"“Now it’s time to work together. Now it’s time to fight the virus”, said Dr Tedros in a media",,
briefing on Thursday last week.,,
"Dr Mike Ryan, Executive Director, WHO Health Emergencies Programme also said that",,
“...we have to create a new partnership. A new deal between government services and,,
"community action. Communities’ individuals have to be empowered, educated. They have to",,
want to participate.”,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,19 462 112 cases (273 552),722 285deaths (6 207)
Africa,884 990 cases (12 489),16 403 deaths (362)
Americas,10 447 261 cases (156 817),385 076 deaths (4 182)
Eastern Mediterranean,1 634 940 cases (11 489),43 080 deaths (321)
Europe,3 562 774 cases (16 762),216 426 deaths (326)
South-East Asia,2 565 800 cases (69 799),52 569 deaths (961)
Western Pacific,365 606 cases (6 196),8 718 deaths (55)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 3 August to 9 August"
**
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 9 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 9 August 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,553 188,7 712,10 210,301,Community transmission,0
Nigeria,46 140,453,942,6,Community transmission,0
Ghana,40 533,436,206,0,Community transmission,0
Algeria,34 693,538,1 293,11,Community transmission,0
Kenya,25 837,699,418,5,Community transmission,0
Ethiopia,22 253,801,390,10,Community transmission,0
Cameroon,18 042,0,395,0,Community transmission,1
Côte d’Ivoire,16 620,96,104,0,Community transmission,0
Madagascar,12 922,214,141,6,Community transmission,0
Senegal,11 003,116,229,4,Community transmission,0
Democratic Republic of the Congo,9 435,81,218,0,Community transmission,0
Gabon,7 923,0,51,0,Community transmission,1
Zambia,7 903,739,203,4,Community transmission,0
Guinea,7 875,98,50,0,Community transmission,0
Mauritania,6 498,0,157,0,Community transmission,1
Equatorial Guinea,4 821,0,83,0,Community transmission,8
Central African Republic,4 641,0,59,0,Community transmission,1
Malawi,4 624,49,143,6,Community transmission,0
Zimbabwe,4 575,124,102,0,Clusters of cases,0
Congo,3 664,0,58,0,Community transmission,1
Eswatini,3 128,92,56,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia,2 852,50,16,0,Clusters of cases,0
Cabo Verde,2 835,55,32,3,Clusters of cases,0
Mali,2 565,4,125,0,Community transmission,0
South Sudan,2 470,7,47,0,Community transmission,0
