Coronavirus disease,,
(COVID-19),,
Situation Report – 206,,
"Data as received by WHO from national authorities by 10:00 CEST, 13 August 2020",,
Highlights,,
There have been notable achievements made by Azerbaijan in their response to the COVID-19,,
"pandemic. To further boost its response to the ongoing pandemic, a team of WHO experts has",,
recommended that the country strengthen contact tracing and testing.,,
Access to basic handwashing facilities is a key condition for schools to be able to operate safely,,
in the midst of the COVID-19 pandemic. Yet the latest data from the WHO/UNICEF Joint,,
Monitoring Programme (JMP) found that 43% of schools worldwide lacked access to basic,,
handwashing with soap and water in 2019.,,
More than 2800 community health workers have been trained in Haiti as part of the response,,
"to the COVID-19 pandemic, and meetings have been conducted with community leaders to",,
provide them with accurate information about COVID-19. All of these efforts provide much-,,
needed support to the Ministry of Health and the country’s Multisectoral Pandemic,,
Management Commission of COVID-19.,,
There has been a continued commitment to measles and rubella elimination in the WHO,,
"European Region, although the COVID-19 pandemic is placing an extraordinary burden on",,
health systems.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,20 439 814 cases (276 398),744 385 deaths (6 933)
Africa,916 644 cases (7 070),17 557 deaths (359)
Americas,10 950 220 cases (151 158),398 229 deaths (4 502)
Eastern Mediterranean,1 683 511 cases (13 578),44 661 deaths (373)
Europe,3 668 652 cases (26 107),218 255 deaths (504)
South-East Asia,2 830 404 cases (72 582),56 636 deaths (1 072)
Western Pacific,389 642 cases (5 903),9 034 deaths (123)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 7 August to 13 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 13 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
13 August 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,568 919,2 810,11 010,259,Community transmission,0
Nigeria,47 743,453,956,0,Community transmission,0
Ghana,41 572,168,223,8,Community transmission,0
Algeria,36 699,495,1 333,11,Community transmission,0
Kenya,28 104,679,456,18,Community transmission,0
Ethiopia,25 136,961,463,23,Community transmission,0
Cameroon,18 308,45,401,0,Community transmission,0
Côte d’Ivoire,16 847,0,105,0,Community transmission,1
Madagascar,13 397,80,156,4,Community transmission,0
Senegal,11 587,207,242,4,Community transmission,0
Democratic Republic of the Congo,9 537,39,225,0,Community transmission,0
Zambia,8 501,226,246,5,Community transmission,0
Guinea,8 116,98,50,0,Community transmission,0
Gabon,8 077,71,51,0,Community transmission,0
Mauritania,6 622,24,157,0,Community transmission,0
Zimbabwe,4 893,75,122,18,Clusters of cases,0
Equatorial Guinea,4 821,0,83,0,Community transmission,12
Malawi,4 752,38,152,0,Community transmission,0
Central African Republic,4 652,5,61,0,Community transmission,0
Congo,3 745,0,60,0,Community transmission,2
Eswatini,3 525,115,63,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia,3 406,177,22,3,Clusters of cases,0
Cabo Verde,3 000,80,33,0,Clusters of cases,0
Mali,2 582,5,125,0,Community transmission,0
Mozambique,2 559,78,19,2,Community transmission,0
South Sudan,2 478,1,47,0,Community transmission,0
Rwanda,2 189,18,8,1,Clusters of cases,0
Guinea-Bissau,2 052,0,29,0,Community transmission,5
Benin,2 014,0,38,0,Community transmission,1
Sierra Leone,1 937,5,69,0,Community transmission,0
Angola,1 762,27,80,0,Clusters of cases,0
Gambia,1 477,0,33,0,Sporadic cases,1
Uganda,1 332,19,9,0,Clusters of cases,0
Liberia,1 252,12,82,3,Community transmission,0
Burkina Faso,1 213,2,54,0,Community transmission,0
Niger,1 161,3,69,0,Community transmission,0
