Coronavirus disease,,
(COVID-19),,
Situation Report – 207,,
"Data as received by WHO from national authorities by 10:00 CEST, 14 August 2020",,
Highlights,,
"As previously indicated (Situation Report 203), starting this coming Monday, 17 August, the daily",,
situation report will be replaced by a “COVID-19 Weekly Epidemiological Update” which will,,
focus on analysis and interpretation of the evolving epidemiological situation. All quantitative,,
"data will continue to be updated daily on the global COVID-19 dashboard, covid19.who.int.",,
Important narrative updates will appear on the “Rolling updates”pages. Operational updates,,
will continue to be shared through the “Weekly Operational Update on COVID-19”.,,
"In many countries, the response to the COVID-19 pandemic has incorporated lessons from",,
"other disease approaches, such as the work to protect communities against Ebola virus disease.",,
"In Nigeria’s Niger Delta, health workers have unified their surveillance strategy to improve the",,
"detection and reporting of infectious diseases such as measles, yellow fever, and COVID-19.",,
Today’s ‘Subject in Focus’ highlights updated guidance on home care for patients with,,
suspected or confirmed COVID-19 and the management of their contacts. The document,,
provides guidance on the issues to be considered when deciding whether or not to provide,,
care for COVID-19 patients at home and offers advice for health workers and caregivers,,
providing that care.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,20 730 456 cases (286 710),751 154 deaths (6 713)
Africa,925 297 cases (8 653),17 904 deaths (347)
Americas,11 109 443 cases (157 676),402 734 deaths (4 472)
Eastern Mediterranean,1 696 890 cases (13 379),45 004 deaths (343)
Europe,3 702 640 cases (31 585),218 662 deaths (384)
South-East Asia,2 900 347 cases (69 943),57 756 deaths (1 120)
Western Pacific,395 098 cases (5 474),9 081 deaths (47)

Subject in Focus: Home care for patients with suspected or confirmed
COVID-19 and management of their contacts
"On 13 August 2020, WHO updated guidance for the provision of care for patients with"
COVID-19 in a home setting. This replaces the previous version of the guidance published
17 March 2020.
This guidance was updated to align with recent updates to WHO surveillance case
definitions for COVID-19 and WHO guidance on clinical management for COVID-19. It has
also been expanded to include implementation aspects as well as considerations to
"identify and support patients who could receive care at home, and the infection,"
prevention and control (IPC) requirements for suitable and safe home care of people
"infected with SARS-CoV-2, the virus that causes COVID-19."
As this virus continues to spread and health systems struggle to find capacity to provide
"care, some people with COVID-19 may be cared for at home. The needs of the patient, the"
"caregiver, the household and community must all be considered when the decision to"
provide care for someone infected with SARS-CoV-2 at home is made. WHO has provided
updated guidance to policy makers and health professionals to assess the ability to safely
provide care for COVID-19 patients in the home setting and to support it with adequate
"tools, equipment, resources and instructions."
"Ideally, all patients with COVID-19 should be cared for in a health facility, but there are"
specific situations where they may be cared for safely at home. The guidance outlines
several factors that should be evaluated by the health care provider when determining if a
patient with COVID-19 can be cared for at home. These include the patient’s clinical
"condition and presence of underlying medical conditions, which put them at a higher risk"
"for developing severe disease, an evaluation of the home setting to ensure IPC and other"
"requirements can be met (such as basic hygiene and adequate ventilation), the ability of"
"the caregiver to provide care and recognize when the patient may be deteriorating,"
"adequate support for the caregiver (e.g., food, supplies, psychological support) and"
support of a trained health worker in the community. If specific requirements cannot be
"met, then alternative arrangements should be discussed with the patient and caregiver,"
such as isolation in an alternate or repurposed facility where available.
"Within the updated guidance, WHO provides specific advice for health workers and"
"caregivers providing or supporting care in a patient’s home, including IPC measures to be"
taken to protect the health worker or caregiver and prevent transmission of the COVID-19
virus.
"In addition, a new annex on the implementation of home care policies and guidelines,"
"which was developed with input from social sciences experts, provides some practical"
"examples of approaches towards ensuring patients, family, community and health"
"workers have the necessary supports, resources and communication to safely provide care"
in the home setting.

The full technical guidance is available here.
Information for health workers and the general public about home care can be found
here:
Q&A: Home care and COVID-19 for health workers and administrators
Q&A: Home care and COVID 19 for families and caregivers
Information for the general public about home care for COVID-19 patients can be found
here.

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 8 August to 14 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 14 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
14 August 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,572 865,3 946,11 270,260,Community transmission,0
Nigeria,48 116,373,966,10,Community transmission,0
Ghana,41 847,275,223,0,Community transmission,0
Algeria,37 187,488,1 341,8,Community transmission,0
Kenya,28 754,650,460,4,Community transmission,0
Ethiopia,26 204,1 068,479,16,Community transmission,0
Cameroon,18 469,161,401,0,Community transmission,0
Côte d’Ivoire,16 847,0,105,0,Community transmission,2
Madagascar,13 522,125,162,6,Community transmission,0
Senegal,11 740,153,244,2,Community transmission,0
Democratic Republic of the Congo,9 588,51,234,9,Community transmission,0
Zambia,8 663,162,246,0,Community transmission,0
Guinea,8 198,82,50,0,Community transmission,0
Gabon,8 077,0,51,0,Community transmission,1
Mauritania,6 622,0,157,0,Community transmission,1
Zimbabwe,4 990,97,128,6,Clusters of cases,0
Malawi,4 912,160,153,1,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,13
Central African Republic,4 652,0,61,0,Community transmission,1
Congo,3 745,0,60,0,Community transmission,3
Eswatini,3 599,74,65,2,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia,3 544,138,27,5,Clusters of cases,0
Cabo Verde,3 073,73,33,0,Clusters of cases,0
Mozambique,2 638,79,19,0,Community transmission,0
Mali,2 597,15,125,0,Community transmission,0
South Sudan,2 482,4,47,0,Community transmission,0
Rwanda,2 200,11,8,0,Clusters of cases,0
Guinea-Bissau,2 052,0,29,0,Community transmission,6
Benin,2 014,0,38,0,Community transmission,2
Sierra Leone,1 940,3,69,0,Community transmission,0
Angola,1 815,53,83,3,Clusters of cases,0
Gambia,1 556,79,43,10,Sporadic cases,0
Uganda,1 353,21,11,2,Clusters of cases,0
Liberia,1 252,0,82,0,Community transmission,1
Burkina Faso,1 228,15,54,0,Community transmission,0
Botswana,1 214,148,3,1,Clusters of cases,0
Niger,1 161,0,69,0,Community transmission,1
Togo,1 092,25,26,1,Community transmission,0
Chad,949,0,76,0,Community transmission,1
Lesotho,884,69,25,1,Clusters of cases,0
Sao Tome and Principe,883,1,15,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,98
Burundi,412,2,1,0,Clusters of cases,0
Comoros,403,4,7,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mauritius 344 0 10 0 Sporadic cases 20,,,,,,
Eritrea 285 0 0 0 Sporadic cases 6,,,,,,
Seychelles,126,0,0,0,Sporadic cases,6
Territoriesii,,,,,,
Mayotte,3 119,28,39,0,Clusters of cases,0
Réunion,754,20,5,0,Clusters of cases,0
Americas,,,,,,
United States of America,5 150 407,55 907,164 826,1 486,Community transmission,0
Brazil,3 164 785,55 155,104 201,1 175,Community transmission,0
Peru,498 555,8 875,21 713,212,Community transmission,0
Mexico,498 380,5 858,54 666,737,Community transmission,0
Colombia,422 519,12 066,13 837,362,Community transmission,0
Chile,380 034,1 866,10 299,94,Community transmission,0
Argentina,268 574,7 663,5 246,158,Community transmission,0
Canada,120 844,423,9 006,15,Community transmission,0
Ecuador,98 343,1 233,6 010,26,Community transmission,0
Bolivia (Plurinational State of),95 071,1 743,3 827,66,Community transmission,0
Dominican Republic,83 134,910,1 393,22,Community transmission,0
Panama,77 377,913,1 703,23,Community transmission,0
Guatemala,60 284,1 195,2 296,29,Community transmission,0
Honduras,48 657,254,1 533,18,Community transmission,0
Venezuela (Bolivarian Republic of),29 088,1 150,247,9,Community transmission,0
Costa Rica,25 057,549,263,8,Community transmission,0
El Salvador,21 993,349,584,7,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Paraguay,8 018,499,93,7,Community transmission,0
Haiti,7 781,38,192,5,Community transmission,0
Nicaragua,3 413,0,128,0,Community transmission,2
Cuba,3 174,46,89,1,Clusters of cases,0
Suriname,2 653,94,39,0,Community transmission,0
