Coronavirus disease,,
(COVID-19),,
Situation Report – 208,,
"Data as received by WHO from national authorities by 10:00 CEST, 15 August 2020",,
Highlights,,
"The International Narcotics Control Board, World Health Organization, and the United Nations Office on Drugs",,
and Crime have released a statement calling on governments to ensure that the procurement and supply of,,
"controlled medicines in countries meet the needs of patients, both those who have COVID-19 and those who",,
require internationally controlled medicines for other medical conditions.,,
While several countries in the Americas have implemented innovative strategies to boost immunization,,
"programmes during the COVID-19 pandemic, concerns about risk of exposure, as well as challenges accessing",,
"services during lockdown, have led to a reduction in vaccination coverage. This was shown in a series of surveys",,
carried out by the WHO Regional Office for the Americas.,,
Africa is marking six months since the first cases of COVID-19 were detected on the continent. Cases have been,,
"gradually increasing, with South Africa bearing the brunt of the crisis, with over half a million cases and 11 000",,
deaths.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,21 026 758 cases (294 237),755 786 deaths (9 985)
Africa,936 062 cases (10 765),18 286 deaths (382)
Americas,11 271 215 cases (161 772),410 483 deaths (7 749)
Eastern Mediterranean,1 710 272 cases (13 382),45 361 deaths (357)
Europe,3 733 965 cases (29 260),213 674 deaths (365)
South-East Asia,2 971 104 cases (70 757),58 844 deaths (1 088)
Western Pacific,403 399 cases (8 301),9 125 deaths (44)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 9 August to 15 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 15 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 15 August 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,579 140,6 275,11 556,286,Community transmission,0
Nigeria,48 445,329,973,7,Community transmission,0
Ghana,42 063,216,231,8,Community transmission,0
Algeria,37 664,477,1 351,10,Community transmission,0
Kenya,29 334,580,465,5,Community transmission,0
Ethiopia,27 242,1 038,492,13,Community transmission,0
Cameroon,18 469,0,401,0,Community transmission,1
Côte d’Ivoire,16 935,88,108,3,Community transmission,0
Madagascar,13 643,121,164,2,Community transmission,0
Senegal,11 872,132,249,5,Community transmission,0
Democratic Republic of the Congo,9 604,16,238,4,Community transmission,0
Zambia,9 021,358,256,10,Community transmission,0
Guinea,8 260,62,50,0,Community transmission,0
Gabon,8 225,148,51,0,Community transmission,0
Mauritania,6 653,31,157,0,Community transmission,0
Zimbabwe,5 072,82,128,0,Clusters of cases,0
Malawi,4 988,76,156,3,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,14
Central African Republic,4 652,0,61,0,Community transmission,2
Congo,3 745,0,60,0,Community transmission,4
Namibia,3 726,182,31,4,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eswatini,3 670,71,68,3,Community transmission,0
Cabo Verde,3 136,63,33,0,Clusters of cases,0
Mozambique,2 708,70,19,0,Community transmission,0
Mali,2 605,8,125,0,Community transmission,0
South Sudan,2 488,6,47,0,Community transmission,0
Rwanda,2 200,0,8,0,Clusters of cases,1
Guinea-Bissau,2 117,65,33,4,Community transmission,0
Benin,2 014,0,38,0,Community transmission,3
Sierra Leone,1 947,7,69,0,Community transmission,0
Angola,1 852,37,86,3,Clusters of cases,0
Gambia,1 689,133,54,11,Sporadic cases,0
