Coronavirus disease,,
(COVID-19),,
Situation Report – 209,,
"Data as received by WHO from national authorities by 10:00 CEST, 16 August 2020",,
Highlights,,
WHO Director-General Dr Tedros expressed his gratitude to the Government of South Africa for,,
welcoming the WHO experts that will be supporting the Ministry of Health and other agencies,,
in their response to COVID-19.,,
South Africa is stepping up hygiene in health facilities to protect against COVID-19 with support,,
provided through the UHC Partnership as part of WHO’s overall COVID-19 response.,,
This is the final daily COVID-19 Situation Report. Beginning tomorrow we will begin publishing,,
the COVID-19 Weekly Epidemiological Update which will focus on analysis and interpretation of,,
the evolving epidemiological situation.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,21 294 845 cases (267 291),761 779 deaths (5 985)
Africa,945 165 cases (9 103),18 476 deaths (190)
Americas,11 420 860 cases (149 645),414 326 deaths (3 843)
Eastern Mediterranean,1 723 673 cases (13 401),45 704 deaths (343)
Europe,3 754 649 cases (19 888),214 092 deaths (410)
South-East Asia,3 040 168 cases (69 064),59 875 deaths (1 031)
Western Pacific,409 589 cases (6 190),9 293 deaths (168)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 10 August to 16 August **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 16 August**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 16 August 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,583 653,4 513,11 677,121,Community transmission,0
Nigeria,48 770,325,974,1,Community transmission,0
Ghana,42 210,147,231,0,Community transmission,0
Algeria,38 133,469,1 360,9,Community transmission,0
Kenya,29 849,515,472,7,Community transmission,0
Ethiopia,28 894,1 652,509,17,Community transmission,0
Cameroon,18 469,0,401,0,Community transmission,2
Côte d’Ivoire,16 993,58,108,0,Community transmission,0
Madagascar,13 724,81,166,2,Community transmission,0
Senegal,12 032,160,251,2,Community transmission,0
Democratic Republic of the Congo,9 637,33,239,1,Community transmission,0
Zambia,9 186,165,260,4,Community transmission,0
Guinea,8 343,83,50,0,Community transmission,0
Gabon,8 225,0,51,0,Community transmission,1
Mauritania,6 693,40,157,0,Community transmission,0
Zimbabwe,5 176,104,130,2,Clusters of cases,0
Malawi,5 026,38,157,1,Community transmission,0
Equatorial Guinea,4 821,0,83,0,Community transmission,15
Central African Republic,4 652,0,61,0,Community transmission,3
Namibia,3 907,181,35,4,Clusters of cases,0
Congo,3 831,86,76,16,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eswatini,3 745,75,69,1,Community transmission,0
Cabo Verde,3 163,27,34,1,Clusters of cases,0
Mozambique,2 791,83,19,0,Community transmission,0
Mali,2 614,9,125,0,Community transmission,0
South Sudan,2 489,1,47,0,Community transmission,0
Rwanda,2 352,152,8,0,Clusters of cases,0
Guinea-Bissau,2 117,0,33,0,Community transmission,1
